ticket_id,customer_query,response,category,sentiment,resolution_time_hours,resolved
"TK-1027","The webhook isn't triggering for new events","Verify your webhook URL is accessible publicly and returns 200 OK. Check Settings > Webhooks > Delivery Log for failure details. Common issues: SSL certificate errors or timeout >10s.","technical","frustrated",2.0,true
"TK-1028","I need to transfer ownership of my workspace","Go to Settings > Workspace > Transfer Ownership. Enter the new owner's email (they must be an existing admin). Both parties will receive confirmation emails to complete the transfer.","account_management","neutral",0.5,true
"TK-1029","Your pricing page shows different rates than what I was quoted","The pricing page reflects our current standard rates. Your quoted rate of $39/user was a promotional offer that's still valid. I've applied it to your account for the agreed 12-month term.","billing","confused",1.0,true
"TK-1030","Can I recover data from a deleted team member's account?","Yes, deleted user data is retained for 60 days. Go to Settings > Team > Deactivated Users, select the user, and choose Transfer Data to reassign their projects and files.","data_recovery","anxious",0.5,true
"TK-1031","The mobile app notifications aren't working on Android","Please check: 1) App notification permissions in Android settings, 2) Battery optimization isn't restricting the app, 3) You're on app version 3.8+. If still not working, try reinstalling.","technical","frustrated",1.0,true
"TK-1032","Do you offer an educational discount?","Yes! We offer 50% off for verified educational institutions. Please submit your .edu email and institution details at example.com/education. Verification takes 2-3 business days.","billing","positive",0.3,true
"TK-1033","I need to comply with GDPR - can I delete all my customer data?","You can perform a full data export and deletion from Settings > Privacy > GDPR Tools. Use 'Request Data Deletion' which permanently removes all data within 30 days as required.","security","neutral",1.0,true
"TK-1034","The chart colors are hard to distinguish for colorblind users","Thank you for this feedback. We have a colorblind-friendly mode: Settings > Accessibility > High Contrast Colors. We're also expanding our palette options in the next release.","accessibility","neutral",0.5,true
"TK-1035","My automated workflow stopped running yesterday","Your workflow exceeded the monthly execution limit (5,000 runs on your plan). It will reset on March 1, or you can upgrade to the Business plan for unlimited runs. I've added 500 bonus runs.","feature_help","frustrated",1.0,true
"TK-1036","Can I white-label the platform for my clients?","White-labeling is available on our Enterprise plan. This includes custom domain, logo, colors, and email templates. I can connect you with our sales team to discuss pricing and setup.","sales","positive",0.5,true
"TK-1037","Files uploaded yesterday are showing as corrupted","Our storage team identified an issue during yesterday's maintenance window (8-9 PM UTC). Affected files have been restored from backup. Please re-check your uploads.","technical","angry",4.0,true
"TK-1038","How do I use the API to create projects programmatically?","Use POST /api/v2/projects with your API key in the Authorization header. Required fields: name, description, team_id. Full API docs: docs.example.com/api/projects.","feature_help","neutral",0.3,true
"TK-1039","I'm not receiving any email notifications","Your notification emails were bouncing due to your company's spam filter. Please whitelist notifications@example.com. I've also resent the last 7 days of missed notifications.","technical","frustrated",1.5,true
"TK-1040","We need a BAA for HIPAA compliance","We offer Business Associate Agreements on our Healthcare plan. I've attached our standard BAA template. Our compliance team will review and countersign within 5 business days.","security","neutral",2.0,true
"TK-1041","The bulk import failed with no error message","Bulk imports fail silently when the CSV has encoding issues. Please save your file as UTF-8 CSV and ensure no special characters in headers. I've emailed you a template.","technical","frustrated",1.5,true
"TK-1042","Can I schedule a maintenance window for updates?","Yes, go to Settings > Maintenance > Schedule Window. Set your preferred time (we recommend off-peak hours). Updates will only apply during this window with 24-hour advance notice.","feature_help","neutral",0.3,true
"TK-1043","I need to downgrade my plan but keep my data","I've downgraded you to the Starter plan effective next billing cycle. All your data is preserved, but some features (analytics, API access) will be restricted. You can upgrade anytime.","account_management","neutral",0.5,true
"TK-1044","The SSO login keeps redirecting in a loop","This usually indicates a misconfigured redirect URI in your IdP. Verify that https://app.example.com/auth/callback is listed as an allowed redirect URI in your Okta/Azure AD settings.","technical","frustrated",2.5,true
"TK-1045","Thank you for the quick help yesterday!","You're very welcome! I'm glad we could resolve it quickly. Don't hesitate to reach out if you need anything else. Have a great day!","feedback","positive",0.1,true
"TK-1046","Can multiple users edit a document simultaneously?","Yes, real-time collaboration supports up to 25 simultaneous editors. Changes appear instantly with color-coded cursors showing who's editing where.","feature_help","neutral",0.2,true
"TK-1047","My data import has been stuck at 45% for 2 hours","I see your import job is processing a large file (2.3GB). For files over 1GB, processing can take up to 4 hours. Current progress is actually at 72%. I'll email you when complete.","technical","anxious",0.5,true
"TK-1048","We need to add 200 users next month - any volume discount?","For 200+ users, we offer a 25% volume discount on annual plans. That brings the per-user cost to $18.75/month. I'll have our account manager send a formal proposal today.","sales","positive",1.0,true
"TK-1049","The mobile app shows outdated data compared to web","Please force-sync by pulling down on the main screen. If data is still stale, go to App Settings > Clear Cache > Sync Now. This resolves most sync delays.","technical","frustrated",0.5,true
"TK-1050","I found a security vulnerability in your API","Thank you for the responsible disclosure! I've escalated this to our security team immediately. Please send details to security@example.com. We have a bug bounty program for valid findings.","security","neutral",0.5,true
"TK-1051","How do I set up custom email templates?","Navigate to Settings > Communications > Email Templates. You can customize subject lines, body content, and branding. Use merge tags like {{name}} and {{company}} for personalization.","feature_help","neutral",0.3,true
"TK-1052","My account shows 0 credits but I purchased 500 yesterday","I can see the purchase was processed but credits weren't applied due to a sync delay. I've manually added 500 credits to your account. Balance now shows correctly.","billing","frustrated",0.5,true
"TK-1053","The report I downloaded has wrong currency formatting","Go to Settings > Localization > Currency. Change from USD to your preferred currency. Re-download the report and it will use the correct formatting and symbol.","feature_help","neutral",0.5,true
"TK-1054","Can I restrict certain IP addresses from accessing our workspace?","Yes, IP allowlisting is available on Business+ plans. Go to Settings > Security > IP Restrictions. Add your office IP ranges, and access from other IPs will be blocked.","security","neutral",0.5,true
"TK-1055","We're experiencing data sync issues with your Salesforce integration","Please re-authorize the connection: Integrations > Salesforce > Re-authenticate. Also check that the connected user has API permissions and hasn't exceeded Salesforce API limits.","technical","frustrated",3.0,true
"TK-1056","I need to remove my credit card but still have active subscription","I've noted your request. You can switch to invoice billing: Settings > Billing > Payment Method > Request Invoice Billing. Once approved, you can remove the card.","billing","neutral",1.0,true
"TK-1057","The custom domain SSL certificate shows as invalid","Your custom domain SSL needs renewal. Go to Settings > Domain > Renew SSL. If using a custom certificate, upload the new cert and key. Auto-managed certs renew within 24 hours.","technical","frustrated",2.0,true
"TK-1058","How do I create custom roles with specific permissions?","Go to Settings > Roles > Create Custom Role. Toggle permissions for each module (read, write, delete, admin). Name the role and assign it to team members. Available on Pro+ plans.","feature_help","neutral",0.3,true
"TK-1059","Our team accidentally shared a project publicly","I've immediately revoked public access to the project. Go to Project Settings > Sharing > set to 'Team Only'. I recommend reviewing all shared links under Settings > Shared Links.","security","anxious",0.5,true
"TK-1060","I want to provide feedback on a new feature","Thank you! I've logged your feedback about the new dashboard layout in our product feedback system. Our product team reviews all submissions weekly. Your input is valued!","feedback","positive",0.2,true
"TK-1061","The calendar integration shows events in wrong timezone","Go to Settings > Profile > Timezone and ensure it matches your local time. Then disconnect and reconnect the calendar integration to refresh the timezone mapping.","technical","frustrated",1.0,true
"TK-1062","Can I get historical data beyond 12 months?","Standard plans retain 12 months. Extended data retention (up to 5 years) is available on Enterprise. I can also provide a one-time export of your full historical data upon request.","feature_help","neutral",0.5,true
"TK-1063","Payment failed but my card is valid","The decline code suggests your bank flagged it as unusual activity. Please contact your bank to authorize the charge, or try a different payment method. I've extended your access by 3 days.","billing","frustrated",1.0,true
"TK-1064","We need audit logs for our compliance requirements","Audit logs are available at Settings > Security > Audit Log. You can filter by user, action, date, and export to CSV. Logs are retained for 2 years on Business+ plans.","security","neutral",0.5,true
"TK-1065","The drag-and-drop feature doesn't work in Firefox","We've identified a compatibility issue with Firefox 121. Our dev team has pushed a fix that will be live within 2 hours. In the meantime, Chrome and Edge work correctly.","technical","frustrated",2.0,true
"TK-1066","I need to merge two accounts into one","Account merging requires manual data migration. I'll create a support case for our data team. They'll contact you within 48 hours with a migration plan. No data will be lost.","account_management","neutral",4.0,true
"TK-1067","Can I set up automatic backups of my workspace?","Automatic daily backups are included on all paid plans. You can also trigger manual backups: Settings > Data > Create Backup. Backups are retained for 90 days.","feature_help","neutral",0.2,true
"TK-1068","The video conferencing feature has echo and lag","Please check: 1) Use headphones to prevent echo, 2) Close bandwidth-heavy apps, 3) Try reducing video quality in call settings. If issues persist, your network may need a speed test.","technical","frustrated",1.0,true
"TK-1069","We signed up 3 months ago and haven't been billed","I see your account was on a promotional 90-day trial. Your first billing cycle starts March 1 at the agreed rate. I've sent a billing schedule to your email for reference.","billing","confused",0.5,true
"TK-1070","Your support team is amazing - resolved my issue in minutes!","Thank you so much for the kind words! I'll share this with the team. We strive for fast, helpful support. Don't hesitate to reach out anytime!","feedback","positive",0.1,true
"TK-1071","How do I configure webhook retry logic?","Webhooks retry 3 times with exponential backoff (1min, 5min, 30min). Configure at Settings > Webhooks > Retry Policy. You can also set custom retry counts and intervals on Enterprise.","feature_help","neutral",0.3,true
"TK-1072","My teammates can see projects they shouldn't have access to","I've reviewed your workspace permissions. The 'All Staff' group had inadvertent access. I've restricted it to project-level permissions. Please verify the access is now correct.","security","concerned",1.5,true
"TK-1073","The annual report export is timing out","Large annual reports may timeout on browser. Use the API endpoint GET /reports/annual?year=2025&format=pdf which handles large datasets better. Or I can generate and email it to you.","technical","frustrated",1.0,true
"TK-1074","Can you help me understand my usage analytics?","Your dashboard shows: 450 active users (up 12%), 23,000 API calls/day (within limit), 180GB storage used (72% of quota). Would you like a detailed breakdown of any metric?","feature_help","neutral",0.5,true
"TK-1075","I need to change the primary email on my organization account","I've updated your org primary email. A verification link was sent to the new address. Please confirm within 24 hours or the change will revert for security purposes.","account_management","neutral",0.5,true
"TK-1076","The notification sound is too loud and I can't adjust it","Notification volume follows your device settings. In-app, go to Settings > Notifications > Sound to choose a different tone or mute. We're adding a volume slider in the next update.","feature_help","frustrated",0.3,true
"TK-1077","We need to comply with data residency requirements in the EU","We offer EU data residency on Enterprise plans. Your data would be stored exclusively in our Frankfurt (eu-central-1) region. I can initiate a region migration for your account.","security","neutral",2.0,true
"TK-1078","The gantt chart view isn't displaying task dependencies","Task dependencies require the Project Management add-on. Enable it at Settings > Add-ons > Project Management. Once active, you can set dependencies by dragging between tasks.","feature_help","confused",0.5,true
"TK-1079","I've been waiting 3 days for a response to my previous ticket","I sincerely apologize for the delay. Your ticket TK-0987 was incorrectly routed. I've escalated it to our senior team and you'll receive a resolution within 4 hours.","complaint","angry",0.5,true
"TK-1080","Great product! Just wanted to suggest a dark mode option","Thank you! Dark mode is actually in development and scheduled for Q2 2026. I've added your vote to the feature request. You'll be notified when it launches!","feedback","positive",0.2,true
