transaction_id,type,amount,currency,category,description,risk_score,flagged
TXN-0024,debit,9950.00,USD,cash_withdrawal,"Multiple cash withdrawals same day different branches",0.91,true
TXN-0025,credit,780.00,USD,interest,"Quarterly interest earned on business savings account",0.01,false
TXN-0026,debit,3300.00,USD,software,"Annual CRM license renewal - Salesforce Enterprise",0.04,false
TXN-0027,debit,18500.00,JPY,transfer,"International wire to Japanese supplier - electronics parts",0.18,false
TXN-0028,credit,45000.00,USD,sales,"Large bulk order payment - retail distributor",0.12,false
TXN-0029,debit,299.00,USD,subscription,"Monthly cloud hosting - AWS reserved instances",0.01,false
TXN-0030,debit,1200.00,USD,training,"Employee training program - certification courses",0.02,false
TXN-0031,credit,9999.00,USD,deposit,"Cash deposit just under CTR threshold - 3rd this week",0.93,true
TXN-0032,debit,650.00,USD,maintenance,"HVAC maintenance service - annual contract",0.01,false
TXN-0033,debit,8750.00,USD,consulting,"Management consulting retainer - McKinsey engagement",0.06,false
TXN-0034,credit,15600.00,EUR,invoice,"European client payment - software development milestone",0.09,false
TXN-0035,debit,425.00,USD,telecommunications,"Monthly phone and internet services - AT&T Business",0.01,false
TXN-0036,debit,2800.00,USD,taxes,"Quarterly estimated tax payment - federal",0.03,false
TXN-0037,debit,1100.00,USD,taxes,"State sales tax remittance - California",0.03,false
TXN-0038,credit,6800.00,USD,sales,"Monthly recurring subscription revenue - 34 customers",0.04,false
TXN-0039,debit,12000.00,USD,transfer,"Rapid sequential transfers to multiple new beneficiaries",0.87,true
TXN-0040,credit,950.00,USD,refund,"Vendor credit for defective merchandise return",0.03,false
TXN-0041,debit,4200.00,USD,benefits,"Employee health insurance premiums - monthly",0.03,false
TXN-0042,debit,175000.00,USD,real_estate,"Commercial property down payment - 123 Main St",0.22,false
TXN-0043,credit,2200.00,AUD,invoice,"Australian partner royalty payment - Q2",0.08,false
TXN-0044,debit,560.00,USD,shipping,"FedEx monthly shipping account settlement",0.02,false
TXN-0045,debit,3500.00,USD,marketing,"Trade show booth rental and materials - CES 2025",0.04,false
TXN-0046,credit,28000.00,USD,grant,"Small business innovation research grant disbursement",0.07,false
TXN-0047,debit,890.00,USD,accounting,"Monthly bookkeeping service - QuickBooks ProAdvisor",0.02,false
TXN-0048,debit,9990.00,USD,cash_withdrawal,"Large cash withdrawal to unknown third party",0.88,true
TXN-0049,credit,11500.00,USD,sales,"Wholesale order payment - retailer purchase order",0.06,false
TXN-0050,debit,2400.00,USD,lease,"Vehicle lease payment - company fleet",0.02,false
TXN-0051,debit,15800.00,CHF,transfer,"Wire to Swiss numbered account - new beneficiary",0.92,true
TXN-0052,credit,4100.00,USD,commission,"Sales commission payment - affiliate program",0.05,false
TXN-0053,debit,675.00,USD,security,"Cybersecurity monitoring service - CrowdStrike annual",0.02,false
TXN-0054,debit,1950.00,USD,recruitment,"Job posting fees - LinkedIn and Indeed premium",0.03,false
TXN-0055,credit,7300.00,USD,sales,"E-commerce platform weekly payout - Shopify",0.04,false
TXN-0056,debit,340.00,USD,office_supplies,"Printer ink and paper - monthly restock",0.01,false
TXN-0057,credit,19000.00,USD,investment,"Angel investor capital contribution",0.14,false
TXN-0058,debit,5200.00,USD,professional_services,"Annual external audit fees - Deloitte",0.05,false
TXN-0059,debit,2750.00,USD,insurance,"Commercial general liability insurance quarterly",0.02,false
TXN-0060,credit,3600.00,SGD,invoice,"Singapore client milestone payment - mobile app",0.09,false
TXN-0061,debit,480.00,USD,subscription,"Project management tools - Jira and Confluence",0.01,false
TXN-0062,debit,24999.00,USD,transfer,"Wire transfer split into two transactions same day",0.86,true
TXN-0063,credit,8400.00,USD,sales,"Government contract progress payment - Phase 2",0.06,false
TXN-0064,debit,1350.00,USD,entertainment,"Client dinner and entertainment expenses",0.04,false
TXN-0065,debit,7600.00,USD,equipment,"MacBook Pro fleet refresh - 4 units",0.06,false
TXN-0066,credit,16200.00,USD,invoice,"Retainer payment from law firm - IT support contract",0.07,false
TXN-0067,debit,225.00,USD,charitable,"Monthly donation to local food bank",0.01,false
TXN-0068,debit,9500.00,USD,transfer,"Funds sent to high-risk jurisdiction - Myanmar",0.90,true
TXN-0069,credit,5800.00,USD,sales,"Consulting workshop registration fees - 29 attendees",0.04,false
TXN-0070,debit,3100.00,USD,marketing,"Social media advertising spend - Meta Business Suite",0.03,false
"TXN-10070","income","3666.62","USD","payroll","Monthly payroll processing","2024-01-01","completed"
"TXN-10071","expense","44472.62","EUR","office_supplies","Office supply purchase","2024-02-02","pending"
"TXN-10072","transfer","34941.14","GBP","travel","Business travel expense","2024-03-03","reconciled"
"TXN-10073","invoice","6711.77","CAD","utilities","Utility bill payment","2024-04-04","disputed"
"TXN-10074","payment","39160.83","AUD","consulting","Consulting fee","2024-05-05","cancelled"
"TXN-10075","refund","11378.23","JPY","software","Software license renewal","2024-06-06","completed"
"TXN-10076","charge","866.43","USD","rent","Quarterly rent","2024-07-07","pending"
"TXN-10077","credit","6713.68","EUR","insurance","Insurance premium","2024-08-08","reconciled"
"TXN-10078","income","40269.73","GBP","marketing","Marketing campaign","2024-09-09","disputed"
"TXN-10079","expense","34629.06","CAD","legal","Legal retainer","2024-10-10","cancelled"
"TXN-10080","transfer","36561.27","AUD","maintenance","Building maintenance","2024-11-11","completed"
"TXN-10081","invoice","21541.28","JPY","equipment","Equipment purchase","2024-12-12","pending"
"TXN-10082","payment","38129.15","USD","shipping","Shipping costs","2024-01-13","reconciled"
"TXN-10083","refund","28592.77","EUR","tax_payment","Tax installment","2024-02-14","disputed"
"TXN-10084","charge","35811.68","GBP","loan_repayment","Loan payment","2024-03-15","cancelled"
"TXN-10085","credit","17360.97","CAD","payroll","Monthly payroll processing","2024-04-16","completed"
"TXN-10086","income","36026.76","AUD","office_supplies","Office supply purchase","2024-05-17","pending"
"TXN-10087","expense","9286.04","JPY","travel","Business travel expense","2024-06-18","reconciled"
"TXN-10088","transfer","27312.5","USD","utilities","Utility bill payment","2024-07-19","disputed"
"TXN-10089","invoice","48646.49","EUR","consulting","Consulting fee","2024-08-20","cancelled"
"TXN-10090","payment","26189.3","GBP","software","Software license renewal","2024-09-21","completed"
"TXN-10091","refund","12826.61","CAD","rent","Quarterly rent","2024-10-22","pending"
"TXN-10092","charge","30712.04","AUD","insurance","Insurance premium","2024-11-23","reconciled"
"TXN-10093","credit","5724.51","JPY","marketing","Marketing campaign","2024-12-24","disputed"
"TXN-10094","income","3695.0","USD","legal","Legal retainer","2024-01-25","cancelled"
"TXN-10095","expense","8034.47","EUR","maintenance","Building maintenance","2024-02-26","completed"
"TXN-10096","transfer","37029.71","GBP","equipment","Equipment purchase","2024-03-27","pending"
"TXN-10097","invoice","3561.17","CAD","shipping","Shipping costs","2024-04-28","reconciled"
"TXN-10098","payment","1316.67","AUD","tax_payment","Tax installment","2024-05-01","disputed"
"TXN-10099","refund","39235.38","JPY","loan_repayment","Loan payment","2024-06-02","cancelled"
"TXN-10100","charge","37117.16","USD","payroll","Monthly payroll processing","2024-07-03","completed"
"TXN-10101","credit","49119.59","EUR","office_supplies","Office supply purchase","2024-08-04","pending"
"TXN-10102","income","6569.32","GBP","travel","Business travel expense","2024-09-05","reconciled"
"TXN-10103","expense","41922.04","CAD","utilities","Utility bill payment","2024-10-06","disputed"
"TXN-10104","transfer","21411.27","AUD","consulting","Consulting fee","2024-11-07","cancelled"
"TXN-10105","invoice","31579.33","JPY","software","Software license renewal","2024-12-08","completed"
"TXN-10106","payment","24753.68","USD","rent","Quarterly rent","2024-01-09","pending"
"TXN-10107","refund","3627.34","EUR","insurance","Insurance premium","2024-02-10","reconciled"
"TXN-10108","charge","38956.05","GBP","marketing","Marketing campaign","2024-03-11","disputed"
"TXN-10109","credit","28759.48","CAD","legal","Legal retainer","2024-04-12","cancelled"
"TXN-10110","income","12245.7","AUD","maintenance","Building maintenance","2024-05-13","completed"
"TXN-10111","expense","36520.23","JPY","equipment","Equipment purchase","2024-06-14","pending"
"TXN-10112","transfer","24362.43","USD","shipping","Shipping costs","2024-07-15","reconciled"
"TXN-10113","invoice","15688.28","EUR","tax_payment","Tax installment","2024-08-16","disputed"
"TXN-10114","payment","15965.62","GBP","loan_repayment","Loan payment","2024-09-17","cancelled"
"TXN-10115","refund","8940.54","CAD","payroll","Monthly payroll processing","2024-10-18","completed"
"TXN-10116","charge","43328.72","AUD","office_supplies","Office supply purchase","2024-11-19","pending"
"TXN-10117","credit","31061.34","JPY","travel","Business travel expense","2024-12-20","reconciled"
"TXN-10118","income","26403.56","USD","utilities","Utility bill payment","2024-01-21","disputed"
"TXN-10119","expense","16328.72","EUR","consulting","Consulting fee","2024-02-22","cancelled"
"TXN-10120","transfer","13289.57","GBP","software","Software license renewal","2024-03-23","completed"
"TXN-10121","invoice","17822.58","CAD","rent","Quarterly rent","2024-04-24","pending"
"TXN-10122","payment","12851.79","AUD","insurance","Insurance premium","2024-05-25","reconciled"
"TXN-10123","refund","42194.65","JPY","marketing","Marketing campaign","2024-06-26","disputed"
"TXN-10124","charge","27302.23","USD","legal","Legal retainer","2024-07-27","cancelled"
"TXN-10125","credit","1890.36","EUR","maintenance","Building maintenance","2024-08-28","completed"
"TXN-10126","income","2742.57","GBP","equipment","Equipment purchase","2024-09-01","pending"
"TXN-10127","expense","10718.1","CAD","shipping","Shipping costs","2024-10-02","reconciled"
"TXN-10128","transfer","48755.64","AUD","tax_payment","Tax installment","2024-11-03","disputed"
"TXN-10129","invoice","34549.65","JPY","loan_repayment","Loan payment","2024-12-04","cancelled"
"TXN-10130","payment","26665.34","USD","payroll","Monthly payroll processing","2024-01-05","completed"
"TXN-10131","refund","44100.85","EUR","office_supplies","Office supply purchase","2024-02-06","pending"
"TXN-10132","charge","44270.81","GBP","travel","Business travel expense","2024-03-07","reconciled"
"TXN-10133","credit","32147.46","CAD","utilities","Utility bill payment","2024-04-08","disputed"
"TXN-10134","income","25548.33","AUD","consulting","Consulting fee","2024-05-09","cancelled"
"TXN-10135","expense","23613.69","JPY","software","Software license renewal","2024-06-10","completed"
"TXN-10136","transfer","42393.38","USD","rent","Quarterly rent","2024-07-11","pending"
"TXN-10137","invoice","29987.93","EUR","insurance","Insurance premium","2024-08-12","reconciled"
"TXN-10138","payment","18887.8","GBP","marketing","Marketing campaign","2024-09-13","disputed"
"TXN-10139","refund","1272.26","CAD","legal","Legal retainer","2024-10-14","cancelled"
"TXN-10140","charge","4716.06","AUD","maintenance","Building maintenance","2024-11-15","completed"
"TXN-10141","credit","20461.97","JPY","equipment","Equipment purchase","2024-12-16","pending"
"TXN-10142","income","48156.65","USD","shipping","Shipping costs","2024-01-17","reconciled"
"TXN-10143","expense","40094.94","EUR","tax_payment","Tax installment","2024-02-18","disputed"
"TXN-10144","transfer","22807.53","GBP","loan_repayment","Loan payment","2024-03-19","cancelled"
"TXN-10145","invoice","10428.05","CAD","payroll","Monthly payroll processing","2024-04-20","completed"
"TXN-10146","payment","41885.12","AUD","office_supplies","Office supply purchase","2024-05-21","pending"
"TXN-10147","refund","38455.62","JPY","travel","Business travel expense","2024-06-22","reconciled"
"TXN-10148","charge","15925.25","USD","utilities","Utility bill payment","2024-07-23","disputed"
"TXN-10149","credit","48947.68","EUR","consulting","Consulting fee","2024-08-24","cancelled"
"TXN-10150","income","5743.56","GBP","software","Software license renewal","2024-09-25","completed"
"TXN-10151","expense","21796.81","CAD","rent","Quarterly rent","2024-10-26","pending"
"TXN-10152","transfer","31424.99","AUD","insurance","Insurance premium","2024-11-27","reconciled"
"TXN-10153","invoice","20990.22","JPY","marketing","Marketing campaign","2024-12-28","disputed"
"TXN-10154","payment","18047.4","USD","legal","Legal retainer","2024-01-01","cancelled"
"TXN-10155","refund","20201.57","EUR","maintenance","Building maintenance","2024-02-02","completed"
"TXN-10156","charge","4531.01","GBP","equipment","Equipment purchase","2024-03-03","pending"
"TXN-10157","credit","10274.2","CAD","shipping","Shipping costs","2024-04-04","reconciled"
"TXN-10158","income","2250.4","AUD","tax_payment","Tax installment","2024-05-05","disputed"
"TXN-10159","expense","38603.49","JPY","loan_repayment","Loan payment","2024-06-06","cancelled"
"TXN-10160","transfer","46575.05","USD","payroll","Monthly payroll processing","2024-07-07","completed"
"TXN-10161","invoice","28444.02","EUR","office_supplies","Office supply purchase","2024-08-08","pending"
"TXN-10162","payment","13256.38","GBP","travel","Business travel expense","2024-09-09","reconciled"
"TXN-10163","refund","186.18","CAD","utilities","Utility bill payment","2024-10-10","disputed"
"TXN-10164","charge","36147.74","AUD","consulting","Consulting fee","2024-11-11","cancelled"
"TXN-10165","credit","25151.47","JPY","software","Software license renewal","2024-12-12","completed"
"TXN-10166","income","7302.73","USD","rent","Quarterly rent","2024-01-13","pending"
"TXN-10167","expense","17352.86","EUR","insurance","Insurance premium","2024-02-14","reconciled"
"TXN-10168","transfer","18006.89","GBP","marketing","Marketing campaign","2024-03-15","disputed"
"TXN-10169","invoice","12628.49","CAD","legal","Legal retainer","2024-04-16","cancelled"
"TXN-10170","payment","42854.99","AUD","maintenance","Building maintenance","2024-05-17","completed"
"TXN-10171","refund","41105.14","JPY","equipment","Equipment purchase","2024-06-18","pending"
"TXN-10172","charge","13665.23","USD","shipping","Shipping costs","2024-07-19","reconciled"
"TXN-10173","credit","24385.5","EUR","tax_payment","Tax installment","2024-08-20","disputed"
"TXN-10174","income","35387.38","GBP","loan_repayment","Loan payment","2024-09-21","cancelled"
"TXN-10175","expense","21418.47","CAD","payroll","Monthly payroll processing","2024-10-22","completed"
"TXN-10176","transfer","18743.53","AUD","office_supplies","Office supply purchase","2024-11-23","pending"
"TXN-10177","invoice","23144.45","JPY","travel","Business travel expense","2024-12-24","reconciled"
"TXN-10178","payment","12837.37","USD","utilities","Utility bill payment","2024-01-25","disputed"
"TXN-10179","refund","12241.06","EUR","consulting","Consulting fee","2024-02-26","cancelled"
"TXN-10180","charge","35719.02","GBP","software","Software license renewal","2024-03-27","completed"
"TXN-10181","credit","34317.04","CAD","rent","Quarterly rent","2024-04-28","pending"
"TXN-10182","income","11500.53","AUD","insurance","Insurance premium","2024-05-01","reconciled"
"TXN-10183","expense","44365.43","JPY","marketing","Marketing campaign","2024-06-02","disputed"
"TXN-10184","transfer","12599.34","USD","legal","Legal retainer","2024-07-03","cancelled"
"TXN-10185","invoice","547.5","EUR","maintenance","Building maintenance","2024-08-04","completed"
"TXN-10186","payment","21022.04","GBP","equipment","Equipment purchase","2024-09-05","pending"
"TXN-10187","refund","18562.52","CAD","shipping","Shipping costs","2024-10-06","reconciled"
"TXN-10188","charge","29810.34","AUD","tax_payment","Tax installment","2024-11-07","disputed"
"TXN-10189","credit","7498.33","JPY","loan_repayment","Loan payment","2024-12-08","cancelled"
"TXN-10190","income","1270.82","USD","payroll","Monthly payroll processing","2024-01-09","completed"
"TXN-10191","expense","24988.85","EUR","office_supplies","Office supply purchase","2024-02-10","pending"
"TXN-10192","transfer","19219.8","GBP","travel","Business travel expense","2024-03-11","reconciled"
"TXN-10193","invoice","2055.42","CAD","utilities","Utility bill payment","2024-04-12","disputed"
"TXN-10194","payment","20705.41","AUD","consulting","Consulting fee","2024-05-13","cancelled"
"TXN-10195","refund","6968.08","JPY","software","Software license renewal","2024-06-14","completed"
"TXN-10196","charge","14111.36","USD","rent","Quarterly rent","2024-07-15","pending"
"TXN-10197","credit","30041.17","EUR","insurance","Insurance premium","2024-08-16","reconciled"
"TXN-10198","income","27711.51","GBP","marketing","Marketing campaign","2024-09-17","disputed"
"TXN-10199","expense","28511.27","CAD","legal","Legal retainer","2024-10-18","cancelled"
"TXN-10200","transfer","3019.24","AUD","maintenance","Building maintenance","2024-11-19","completed"
"TXN-10201","invoice","15845.95","JPY","equipment","Equipment purchase","2024-12-20","pending"
"TXN-10202","payment","15917.79","USD","shipping","Shipping costs","2024-01-21","reconciled"
"TXN-10203","refund","3475.53","EUR","tax_payment","Tax installment","2024-02-22","disputed"
"TXN-10204","charge","16373.05","GBP","loan_repayment","Loan payment","2024-03-23","cancelled"
"TXN-10205","credit","36120.9","CAD","payroll","Monthly payroll processing","2024-04-24","completed"
"TXN-10206","income","2313.4","AUD","office_supplies","Office supply purchase","2024-05-25","pending"
"TXN-10207","expense","36548.28","JPY","travel","Business travel expense","2024-06-26","reconciled"
"TXN-10208","transfer","39697.15","USD","utilities","Utility bill payment","2024-07-27","disputed"
"TXN-10209","invoice","21475.84","EUR","consulting","Consulting fee","2024-08-28","cancelled"
"TXN-10210","payment","47180.45","GBP","software","Software license renewal","2024-09-01","completed"
"TXN-10211","refund","35218.22","CAD","rent","Quarterly rent","2024-10-02","pending"
"TXN-10212","charge","12131.92","AUD","insurance","Insurance premium","2024-11-03","reconciled"
"TXN-10213","credit","46430.79","JPY","marketing","Marketing campaign","2024-12-04","disputed"
"TXN-10214","income","18114.07","USD","legal","Legal retainer","2024-01-05","cancelled"
"TXN-10215","expense","9140.96","EUR","maintenance","Building maintenance","2024-02-06","completed"
"TXN-10216","transfer","13568.56","GBP","equipment","Equipment purchase","2024-03-07","pending"
"TXN-10217","invoice","31235.3","CAD","shipping","Shipping costs","2024-04-08","reconciled"
"TXN-10218","payment","40477.63","AUD","tax_payment","Tax installment","2024-05-09","disputed"
"TXN-10219","refund","37868.47","JPY","loan_repayment","Loan payment","2024-06-10","cancelled"
"TXN-10220","charge","3283.33","USD","payroll","Monthly payroll processing","2024-07-11","completed"
"TXN-10221","credit","30195.55","EUR","office_supplies","Office supply purchase","2024-08-12","pending"
"TXN-10222","income","38110.03","GBP","travel","Business travel expense","2024-09-13","reconciled"
"TXN-10223","expense","26838.26","CAD","utilities","Utility bill payment","2024-10-14","disputed"
"TXN-10224","transfer","3715.72","AUD","consulting","Consulting fee","2024-11-15","cancelled"
"TXN-10225","invoice","31117.24","JPY","software","Software license renewal","2024-12-16","completed"
"TXN-10226","payment","43793.03","USD","rent","Quarterly rent","2024-01-17","pending"
"TXN-10227","refund","39277.45","EUR","insurance","Insurance premium","2024-02-18","reconciled"
"TXN-10228","charge","41383.27","GBP","marketing","Marketing campaign","2024-03-19","disputed"
"TXN-10229","credit","28156.39","CAD","legal","Legal retainer","2024-04-20","cancelled"
"TXN-10230","income","13684.32","AUD","maintenance","Building maintenance","2024-05-21","completed"
"TXN-10231","expense","43855.33","JPY","equipment","Equipment purchase","2024-06-22","pending"
"TXN-10232","transfer","20376.12","USD","shipping","Shipping costs","2024-07-23","reconciled"
"TXN-10233","invoice","8016.48","EUR","tax_payment","Tax installment","2024-08-24","disputed"
"TXN-10234","payment","30213.74","GBP","loan_repayment","Loan payment","2024-09-25","cancelled"
"TXN-10235","refund","14461.94","CAD","payroll","Monthly payroll processing","2024-10-26","completed"
"TXN-10236","charge","8381.44","AUD","office_supplies","Office supply purchase","2024-11-27","pending"
"TXN-10237","credit","28456.95","JPY","travel","Business travel expense","2024-12-28","reconciled"
"TXN-10238","income","21555.98","USD","utilities","Utility bill payment","2024-01-01","disputed"
"TXN-10239","expense","5565.05","EUR","consulting","Consulting fee","2024-02-02","cancelled"
"TXN-10240","transfer","8546.83","GBP","software","Software license renewal","2024-03-03","completed"
"TXN-10241","invoice","10578.71","CAD","rent","Quarterly rent","2024-04-04","pending"
"TXN-10242","payment","24887.54","AUD","insurance","Insurance premium","2024-05-05","reconciled"
"TXN-10243","refund","33646.42","JPY","marketing","Marketing campaign","2024-06-06","disputed"
"TXN-10244","charge","21260.03","USD","legal","Legal retainer","2024-07-07","cancelled"
"TXN-10245","credit","3609.45","EUR","maintenance","Building maintenance","2024-08-08","completed"
"TXN-10246","income","17101.03","GBP","equipment","Equipment purchase","2024-09-09","pending"
"TXN-10247","expense","29033.93","CAD","shipping","Shipping costs","2024-10-10","reconciled"
"TXN-10248","transfer","19464.13","AUD","tax_payment","Tax installment","2024-11-11","disputed"
"TXN-10249","invoice","6577.86","JPY","loan_repayment","Loan payment","2024-12-12","cancelled"
"TXN-10250","payment","33545.26","USD","payroll","Monthly payroll processing","2024-01-13","completed"
"TXN-10251","refund","19950.92","EUR","office_supplies","Office supply purchase","2024-02-14","pending"
"TXN-10252","charge","12667.21","GBP","travel","Business travel expense","2024-03-15","reconciled"
"TXN-10253","credit","30474.49","CAD","utilities","Utility bill payment","2024-04-16","disputed"
"TXN-10254","income","8797.61","AUD","consulting","Consulting fee","2024-05-17","cancelled"
"TXN-10255","expense","33683.95","JPY","software","Software license renewal","2024-06-18","completed"
"TXN-10256","transfer","45877.91","USD","rent","Quarterly rent","2024-07-19","pending"
"TXN-10257","invoice","18054.88","EUR","insurance","Insurance premium","2024-08-20","reconciled"
"TXN-10258","payment","17151.3","GBP","marketing","Marketing campaign","2024-09-21","disputed"
"TXN-10259","refund","29949.04","CAD","legal","Legal retainer","2024-10-22","cancelled"
"TXN-10260","charge","769.12","AUD","maintenance","Building maintenance","2024-11-23","completed"
"TXN-10261","credit","27246.69","JPY","equipment","Equipment purchase","2024-12-24","pending"
"TXN-10262","income","38382.56","USD","shipping","Shipping costs","2024-01-25","reconciled"
"TXN-10263","expense","11749.34","EUR","tax_payment","Tax installment","2024-02-26","disputed"
"TXN-10264","transfer","1504.68","GBP","loan_repayment","Loan payment","2024-03-27","cancelled"
"TXN-10265","invoice","7999.56","CAD","payroll","Monthly payroll processing","2024-04-28","completed"
"TXN-10266","payment","770.21","AUD","office_supplies","Office supply purchase","2024-05-01","pending"
"TXN-10267","refund","5148.35","JPY","travel","Business travel expense","2024-06-02","reconciled"
"TXN-10268","charge","22688.84","USD","utilities","Utility bill payment","2024-07-03","disputed"
"TXN-10269","credit","31392.1","EUR","consulting","Consulting fee","2024-08-04","cancelled"
"TXN-10270","income","5253.82","GBP","software","Software license renewal","2024-09-05","completed"
"TXN-10271","expense","42389.11","CAD","rent","Quarterly rent","2024-10-06","pending"
"TXN-10272","transfer","16181.49","AUD","insurance","Insurance premium","2024-11-07","reconciled"
"TXN-10273","invoice","10624.72","JPY","marketing","Marketing campaign","2024-12-08","disputed"
"TXN-10274","payment","22192.51","USD","legal","Legal retainer","2024-01-09","cancelled"
"TXN-10275","refund","44971.45","EUR","maintenance","Building maintenance","2024-02-10","completed"
"TXN-10276","charge","49621.45","GBP","equipment","Equipment purchase","2024-03-11","pending"
"TXN-10277","credit","2969.1","CAD","shipping","Shipping costs","2024-04-12","reconciled"
"TXN-10278","income","22739.65","AUD","tax_payment","Tax installment","2024-05-13","disputed"
"TXN-10279","expense","48111.06","JPY","loan_repayment","Loan payment","2024-06-14","cancelled"
"TXN-10280","transfer","15014.97","USD","payroll","Monthly payroll processing","2024-07-15","completed"
"TXN-10281","invoice","14443.72","EUR","office_supplies","Office supply purchase","2024-08-16","pending"
"TXN-10282","payment","4145.65","GBP","travel","Business travel expense","2024-09-17","reconciled"
"TXN-10283","refund","45881.52","CAD","utilities","Utility bill payment","2024-10-18","disputed"
"TXN-10284","charge","258.45","AUD","consulting","Consulting fee","2024-11-19","cancelled"
"TXN-10285","credit","27334.93","JPY","software","Software license renewal","2024-12-20","completed"
"TXN-10286","income","48680.81","USD","rent","Quarterly rent","2024-01-21","pending"
"TXN-10287","expense","11999.98","EUR","insurance","Insurance premium","2024-02-22","reconciled"
"TXN-10288","transfer","34282.37","GBP","marketing","Marketing campaign","2024-03-23","disputed"
"TXN-10289","invoice","9612.54","CAD","legal","Legal retainer","2024-04-24","cancelled"
"TXN-10290","payment","26681.68","AUD","maintenance","Building maintenance","2024-05-25","completed"
"TXN-10291","refund","33903.86","JPY","equipment","Equipment purchase","2024-06-26","pending"
"TXN-10292","charge","11476.95","USD","shipping","Shipping costs","2024-07-27","reconciled"
"TXN-10293","credit","40898.44","EUR","tax_payment","Tax installment","2024-08-28","disputed"
"TXN-10294","income","41853.23","GBP","loan_repayment","Loan payment","2024-09-01","cancelled"
"TXN-10295","expense","5823.85","CAD","payroll","Monthly payroll processing","2024-10-02","completed"
"TXN-10296","transfer","21571.0","AUD","office_supplies","Office supply purchase","2024-11-03","pending"
"TXN-10297","invoice","44677.28","JPY","travel","Business travel expense","2024-12-04","reconciled"
"TXN-10298","payment","7000.29","USD","utilities","Utility bill payment","2024-01-05","disputed"
"TXN-10299","refund","21406.2","EUR","consulting","Consulting fee","2024-02-06","cancelled"
