term,definition,category,example_usage
Current Ratio,"A liquidity ratio measuring a company's ability to pay short-term obligations, calculated as current assets divided by current liabilities.",accounting,"A current ratio of 2.1 indicates the company has $2.10 in current assets for every $1 in current liabilities."
Debt Covenant,"Conditions in a loan agreement that the borrower must comply with, such as maintaining certain financial ratios.",banking,"The company breached its debt covenant by allowing its debt-to-EBITDA ratio to exceed 4.0x."
Dilution,"A reduction in existing shareholders' ownership percentage when a company issues additional shares.",investment,"The Series B funding round resulted in 15% dilution for existing shareholders."
Dividend Yield,"The annual dividend payment divided by the stock's current price, expressed as a percentage.",investment,"AT&T offered an attractive dividend yield of 6.2%, appealing to income-focused investors."
EBITDA,"Earnings Before Interest, Taxes, Depreciation, and Amortization — a measure of operating performance.",accounting,"The company's EBITDA margin improved to 28% after cost restructuring initiatives."
Equity Premium,"The excess return that investing in the stock market provides over a risk-free rate.",investment,"The historical equity premium has averaged approximately 5-7% over Treasury bills in the US market."
Escrow,"A financial arrangement where a third party holds funds or assets until predetermined conditions are met.",banking,"The home buyer deposited $25,000 into escrow pending completion of the property inspection."
Fiduciary Duty,"A legal obligation to act in the best interest of another party, common for financial advisors and trustees.",compliance,"As a fiduciary, the wealth manager must recommend investments that serve the client's best interest, not generate higher commissions."
Float,"The number of shares available for public trading, or the time between writing a check and its clearance.",banking,"The company's low float of 2 million shares contributed to high volatility in the stock price."
Free Cash Flow,"Cash generated by operations minus capital expenditures, representing cash available for distribution to stakeholders.",accounting,"The company generated $12 million in free cash flow, enabling a $3 per share special dividend."
Futures Contract,"A standardized agreement to buy or sell a specific commodity or financial instrument at a predetermined price on a future date.",investment,"The airline purchased crude oil futures contracts to lock in fuel prices for the next quarter at $75 per barrel."
Gross Margin,"The percentage of revenue remaining after deducting the cost of goods sold.",accounting,"The software company maintained a gross margin of 82%, typical for SaaS businesses with low marginal costs."
Hedge,"An investment position intended to offset potential losses from another investment.",investment,"The exporter hedged its euro exposure using forward contracts to protect against currency depreciation."
Impairment,"A permanent decrease in the value of an asset below its carrying amount on the balance sheet.",accounting,"The company recorded a $200 million goodwill impairment charge after the acquired business underperformed projections."
Internal Rate of Return,"The discount rate that makes the net present value of all cash flows from an investment equal to zero.",investment,"The private equity fund achieved an IRR of 22% on its portfolio, exceeding the 18% target."
Junk Bond,"A high-yield bond rated below investment grade (BB+/Ba1 or lower), offering higher returns for greater default risk.",investment,"The distressed company issued junk bonds at 9.5% yield to refinance existing debt."
KYC,"Know Your Customer — regulatory requirements for financial institutions to verify the identity and assess risk of their clients.",compliance,"The bank's KYC process requires government-issued ID, proof of address, and source of funds documentation for new accounts."
Leverage,"The use of borrowed capital to increase the potential return of an investment.",investment,"The fund used 3x leverage, amplifying both gains and losses relative to the underlying positions."
Liquidity,"The ease with which an asset can be converted into cash without significantly affecting its price.",banking,"Treasury bills are highly liquid investments, easily sold in the secondary market with minimal price impact."
Margin Call,"A broker's demand for additional funds when the value of securities in a margin account falls below required levels.",investment,"The sharp market decline triggered margin calls across the portfolio, forcing liquidation of positions."
Market Capitalization,"The total market value of a company's outstanding shares, calculated as share price times shares outstanding.",investment,"Apple's market capitalization exceeded $3 trillion, making it the most valuable publicly traded company."
Maturity Date,"The date on which the principal amount of a debt instrument becomes due and payable.",banking,"The 10-year Treasury bond has a maturity date of 2034, at which point the full face value is returned."
Net Asset Value,"The per-share value of a fund's assets minus liabilities, used to price mutual fund shares.",investment,"The mutual fund's NAV increased to $45.23 per share following strong quarterly performance."
Operating Leverage,"The degree to which a firm uses fixed costs in its operations, affecting how revenue changes translate to profit changes.",accounting,"High operating leverage means a 10% increase in revenue could result in a 30% increase in operating income."
Par Value,"The face value of a bond or the nominal value assigned to shares of stock at issuance.",banking,"The bond was issued at par value of $1,000 with a 5% coupon, paying $50 annually."
Prospectus,"A formal legal document filed with the SEC that provides details about an investment offering to the public.",compliance,"The IPO prospectus disclosed risk factors including customer concentration, regulatory challenges, and competitive threats."
Quantitative Easing,"Central bank policy of purchasing government securities to increase money supply and encourage lending and investment.",banking,"The ECB implemented quantitative easing, purchasing €60 billion in bonds monthly to combat deflation."
Return on Equity,"A measure of financial performance calculated as net income divided by shareholders' equity.",accounting,"The bank achieved a return on equity of 14%, exceeding the industry average of 11%."
Risk-Adjusted Return,"Investment return relative to the amount of risk taken, commonly measured by the Sharpe or Sortino ratio.",investment,"Despite lower absolute returns, Fund A had superior risk-adjusted returns with a Sharpe ratio of 1.8."
Securities Lending,"The temporary transfer of securities from one party to another, typically to facilitate short selling.",investment,"The pension fund earned $2 million annually from its securities lending program."
Solvency Ratio,"A metric evaluating a company's ability to meet long-term debt obligations, calculated as net income plus depreciation divided by total liabilities.",accounting,"A solvency ratio of 0.35 indicates the company generates 35 cents in cash flow for every dollar of total liabilities."
Syndicated Loan,"A loan provided by a group of lenders (syndicate) to a single borrower, spreading risk across multiple institutions.",banking,"The $500 million syndicated loan was led by JPMorgan with participation from 12 regional banks."
Term Sheet,"A non-binding document outlining the basic terms and conditions of an investment or business agreement.",investment,"The term sheet specified a $10 million investment at a pre-money valuation of $40 million with a 1x liquidation preference."
Underwriting,"The process of evaluating and assuming risk in exchange for a fee, common in insurance and securities issuance.",banking,"Goldman Sachs underwrote the IPO, purchasing all shares at the offering price for resale to investors."
Venture Debt,"A type of debt financing for venture-backed companies that supplements equity financing, typically with warrants attached.",investment,"The Series A startup secured $2 million in venture debt to extend its runway without additional dilution."
Volatility,"A statistical measure of the dispersion of returns for a given security or market index.",investment,"The VIX index spiked to 35, indicating elevated market volatility and investor uncertainty."
WACC,"Weighted Average Cost of Capital — the average rate a company pays to finance its assets, weighted by capital structure.",accounting,"With a WACC of 9.2%, only projects with returns exceeding this threshold create shareholder value."
Working Capital,"The difference between current assets and current liabilities, indicating short-term financial health and operational efficiency.",accounting,"Negative working capital of -$500,000 raised concerns about the company's ability to meet short-term obligations."
Yield to Maturity,"The total return anticipated on a bond if held until maturity, accounting for coupon payments and price discount/premium.",investment,"The corporate bond's yield to maturity of 6.8% reflected both the 5% coupon and the discounted purchase price."
Zero-Coupon Bond,"A bond that does not pay periodic interest but is issued at a deep discount to face value, with the full face value paid at maturity.",investment,"The zero-coupon Treasury bond was purchased for $600 and will pay $1,000 at maturity in 10 years."
Warrant,"A derivative giving the holder the right to buy a company's stock at a specific price before expiration.",investment,"The venture debt agreement included warrants to purchase 100,000 shares at $5 per share within 7 years."
Securitization,"The process of pooling various types of contractual debt and selling consolidated debt as bonds to investors.",banking,"The bank securitized $1 billion in auto loans, creating asset-backed securities for institutional investors."
Moral Hazard,"The risk that a party insulated from risk behaves differently than if fully exposed to the risk.",compliance,"Government bailouts of banks create moral hazard by incentivizing excessive risk-taking without fear of consequences."
Mark-to-Market,"An accounting method that values assets at their current market price rather than historical cost.",accounting,"Mark-to-market accounting forced the firm to recognize $50 million in unrealized losses during the market downturn."
"Amortization","Gradual repayment of debt through scheduled installments of principal and interest","debt","The mortgage amortization schedule shows monthly payments over 30 years"
"Accrual","Recording revenue or expenses when incurred regardless of cash exchange","accounting","Revenue accrual for services delivered but not yet billed"
"Arbitrage","Simultaneous buying and selling of an asset to profit from price differences","trading","Currency arbitrage between forex markets"
"Basis Point","One hundredth of one percentage point (0.01%)","rates","The Fed raised rates by 25 basis points"
"Capital Expenditure","Funds used to acquire or upgrade physical assets","investment","CapEx for new factory equipment totaled $2M"
"Collateral","Asset pledged as security for a loan","lending","The property serves as collateral for the mortgage"
"Derivative","Financial instrument whose value derives from an underlying asset","trading","Options and futures are common derivatives"
"Equity","Ownership value in an asset after deducting liabilities","accounting","Shareholders equity represents ownership stake"
"Fiduciary","Legal obligation to act in another party's best interest","compliance","Investment advisors have fiduciary duty to clients"
"Hedge","Investment position to offset potential losses","risk","Currency hedge to protect against forex fluctuations"
"Insolvency","Inability to pay debts as they come due","risk","Technical insolvency when liabilities exceed assets"
"Junk Bond","High-yield bond with below investment-grade rating","investment","Junk bonds carry higher default risk but offer better returns"
"Leverage","Use of borrowed capital to increase potential returns","strategy","3:1 leverage ratio amplifies both gains and losses"
"Maturity Date","Date when a financial instrument becomes due for payment","debt","Bond maturity date is when principal is repaid"
"Net Asset Value","Total assets minus total liabilities per share","valuation","Mutual fund NAV calculated daily at market close"
"Goodwill (variant 15)","Financial concept related to goodwill in the context of compliance operations and analysis","compliance","Applied goodwill analysis in compliance reporting"
"Inflation Rate (variant 16)","Financial concept related to inflation rate in the context of investment operations and analysis","investment","Applied inflation rate analysis in investment reporting"
"Junk Bond (variant 17)","Financial concept related to junk bond in the context of debt operations and analysis","debt","Applied junk bond analysis in debt reporting"
"Kurtosis (variant 18)","Financial concept related to kurtosis in the context of strategy operations and analysis","strategy","Applied kurtosis analysis in strategy reporting"
"Liquidity (variant 19)","Financial concept related to liquidity in the context of valuation operations and analysis","valuation","Applied liquidity analysis in valuation reporting"
"Margin Call (variant 20)","Financial concept related to margin call in the context of rates operations and analysis","rates","Applied margin call analysis in rates reporting"
"Notional Value (variant 21)","Financial concept related to notional value in the context of lending operations and analysis","lending","Applied notional value analysis in lending reporting"
"Open Interest (variant 22)","Financial concept related to open interest in the context of insurance operations and analysis","insurance","Applied open interest analysis in insurance reporting"
"Par Value (variant 23)","Financial concept related to par value in the context of tax operations and analysis","tax","Applied par value analysis in tax reporting"
"Quantitative Easing (variant 24)","Financial concept related to quantitative easing in the context of accounting operations and analysis","accounting","Applied quantitative easing analysis in accounting reporting"
"Risk Premium (variant 25)","Financial concept related to risk premium in the context of trading operations and analysis","trading","Applied risk premium analysis in trading reporting"
"Securitization (variant 26)","Financial concept related to securitization in the context of risk operations and analysis","risk","Applied securitization analysis in risk reporting"
"Theta Decay (variant 27)","Financial concept related to theta decay in the context of compliance operations and analysis","compliance","Applied theta decay analysis in compliance reporting"
"Underperform (variant 28)","Financial concept related to underperform in the context of investment operations and analysis","investment","Applied underperform analysis in investment reporting"
"Volatility Index (variant 29)","Financial concept related to volatility index in the context of debt operations and analysis","debt","Applied volatility index analysis in debt reporting"
"Yield Curve (variant 30)","Financial concept related to yield curve in the context of strategy operations and analysis","strategy","Applied yield curve analysis in strategy reporting"
"Solvency Ratio (variant 31)","Financial concept related to solvency ratio in the context of valuation operations and analysis","valuation","Applied solvency ratio analysis in valuation reporting"
"Write-Off (variant 32)","Financial concept related to write-off in the context of rates operations and analysis","rates","Applied write-off analysis in rates reporting"
"Underwriting (variant 33)","Financial concept related to underwriting in the context of lending operations and analysis","lending","Applied underwriting analysis in lending reporting"
"Venture Capital (variant 34)","Financial concept related to venture capital in the context of insurance operations and analysis","insurance","Applied venture capital analysis in insurance reporting"
"Warrant (variant 35)","Financial concept related to warrant in the context of tax operations and analysis","tax","Applied warrant analysis in tax reporting"
"Zero-Coupon Bond (variant 36)","Financial concept related to zero-coupon bond in the context of accounting operations and analysis","accounting","Applied zero-coupon bond analysis in accounting reporting"
"Annuity (variant 37)","Financial concept related to annuity in the context of trading operations and analysis","trading","Applied annuity analysis in trading reporting"
"Bear Market (variant 38)","Financial concept related to bear market in the context of risk operations and analysis","risk","Applied bear market analysis in risk reporting"
"Bull Market (variant 39)","Financial concept related to bull market in the context of compliance operations and analysis","compliance","Applied bull market analysis in compliance reporting"
"Call Option (variant 40)","Financial concept related to call option in the context of investment operations and analysis","investment","Applied call option analysis in investment reporting"
"Put Option (variant 41)","Financial concept related to put option in the context of debt operations and analysis","debt","Applied put option analysis in debt reporting"
"Dividend Yield (variant 42)","Financial concept related to dividend yield in the context of strategy operations and analysis","strategy","Applied dividend yield analysis in strategy reporting"
"Escrow (variant 43)","Financial concept related to escrow in the context of valuation operations and analysis","valuation","Applied escrow analysis in valuation reporting"
"Float (variant 44)","Financial concept related to float in the context of rates operations and analysis","rates","Applied float analysis in rates reporting"
"Goodwill (variant 45)","Financial concept related to goodwill in the context of lending operations and analysis","lending","Applied goodwill analysis in lending reporting"
"Inflation Rate (variant 46)","Financial concept related to inflation rate in the context of insurance operations and analysis","insurance","Applied inflation rate analysis in insurance reporting"
"Junk Bond (variant 47)","Financial concept related to junk bond in the context of tax operations and analysis","tax","Applied junk bond analysis in tax reporting"
"Kurtosis (variant 48)","Financial concept related to kurtosis in the context of accounting operations and analysis","accounting","Applied kurtosis analysis in accounting reporting"
"Liquidity (variant 49)","Financial concept related to liquidity in the context of trading operations and analysis","trading","Applied liquidity analysis in trading reporting"
"Margin Call (variant 50)","Financial concept related to margin call in the context of risk operations and analysis","risk","Applied margin call analysis in risk reporting"
"Notional Value (variant 51)","Financial concept related to notional value in the context of compliance operations and analysis","compliance","Applied notional value analysis in compliance reporting"
"Open Interest (variant 52)","Financial concept related to open interest in the context of investment operations and analysis","investment","Applied open interest analysis in investment reporting"
"Par Value (variant 53)","Financial concept related to par value in the context of debt operations and analysis","debt","Applied par value analysis in debt reporting"
"Quantitative Easing (variant 54)","Financial concept related to quantitative easing in the context of strategy operations and analysis","strategy","Applied quantitative easing analysis in strategy reporting"
"Risk Premium (variant 55)","Financial concept related to risk premium in the context of valuation operations and analysis","valuation","Applied risk premium analysis in valuation reporting"
"Securitization (variant 56)","Financial concept related to securitization in the context of rates operations and analysis","rates","Applied securitization analysis in rates reporting"
"Theta Decay (variant 57)","Financial concept related to theta decay in the context of lending operations and analysis","lending","Applied theta decay analysis in lending reporting"
"Underperform (variant 58)","Financial concept related to underperform in the context of insurance operations and analysis","insurance","Applied underperform analysis in insurance reporting"
"Volatility Index (variant 59)","Financial concept related to volatility index in the context of tax operations and analysis","tax","Applied volatility index analysis in tax reporting"
"Yield Curve (variant 60)","Financial concept related to yield curve in the context of accounting operations and analysis","accounting","Applied yield curve analysis in accounting reporting"
"Solvency Ratio (variant 61)","Financial concept related to solvency ratio in the context of trading operations and analysis","trading","Applied solvency ratio analysis in trading reporting"
"Write-Off (variant 62)","Financial concept related to write-off in the context of risk operations and analysis","risk","Applied write-off analysis in risk reporting"
"Underwriting (variant 63)","Financial concept related to underwriting in the context of compliance operations and analysis","compliance","Applied underwriting analysis in compliance reporting"
"Venture Capital (variant 64)","Financial concept related to venture capital in the context of investment operations and analysis","investment","Applied venture capital analysis in investment reporting"
"Warrant (variant 65)","Financial concept related to warrant in the context of debt operations and analysis","debt","Applied warrant analysis in debt reporting"
"Zero-Coupon Bond (variant 66)","Financial concept related to zero-coupon bond in the context of strategy operations and analysis","strategy","Applied zero-coupon bond analysis in strategy reporting"
"Annuity (variant 67)","Financial concept related to annuity in the context of valuation operations and analysis","valuation","Applied annuity analysis in valuation reporting"
"Bear Market (variant 68)","Financial concept related to bear market in the context of rates operations and analysis","rates","Applied bear market analysis in rates reporting"
"Bull Market (variant 69)","Financial concept related to bull market in the context of lending operations and analysis","lending","Applied bull market analysis in lending reporting"
"Call Option (variant 70)","Financial concept related to call option in the context of insurance operations and analysis","insurance","Applied call option analysis in insurance reporting"
"Put Option (variant 71)","Financial concept related to put option in the context of tax operations and analysis","tax","Applied put option analysis in tax reporting"
"Dividend Yield (variant 72)","Financial concept related to dividend yield in the context of accounting operations and analysis","accounting","Applied dividend yield analysis in accounting reporting"
"Escrow (variant 73)","Financial concept related to escrow in the context of trading operations and analysis","trading","Applied escrow analysis in trading reporting"
"Float (variant 74)","Financial concept related to float in the context of risk operations and analysis","risk","Applied float analysis in risk reporting"
"Goodwill (variant 75)","Financial concept related to goodwill in the context of compliance operations and analysis","compliance","Applied goodwill analysis in compliance reporting"
"Inflation Rate (variant 76)","Financial concept related to inflation rate in the context of investment operations and analysis","investment","Applied inflation rate analysis in investment reporting"
"Junk Bond (variant 77)","Financial concept related to junk bond in the context of debt operations and analysis","debt","Applied junk bond analysis in debt reporting"
"Kurtosis (variant 78)","Financial concept related to kurtosis in the context of strategy operations and analysis","strategy","Applied kurtosis analysis in strategy reporting"
"Liquidity (variant 79)","Financial concept related to liquidity in the context of valuation operations and analysis","valuation","Applied liquidity analysis in valuation reporting"
"Margin Call (variant 80)","Financial concept related to margin call in the context of rates operations and analysis","rates","Applied margin call analysis in rates reporting"
"Notional Value (variant 81)","Financial concept related to notional value in the context of lending operations and analysis","lending","Applied notional value analysis in lending reporting"
"Open Interest (variant 82)","Financial concept related to open interest in the context of insurance operations and analysis","insurance","Applied open interest analysis in insurance reporting"
"Par Value (variant 83)","Financial concept related to par value in the context of tax operations and analysis","tax","Applied par value analysis in tax reporting"
"Quantitative Easing (variant 84)","Financial concept related to quantitative easing in the context of accounting operations and analysis","accounting","Applied quantitative easing analysis in accounting reporting"
"Risk Premium (variant 85)","Financial concept related to risk premium in the context of trading operations and analysis","trading","Applied risk premium analysis in trading reporting"
"Securitization (variant 86)","Financial concept related to securitization in the context of risk operations and analysis","risk","Applied securitization analysis in risk reporting"
"Theta Decay (variant 87)","Financial concept related to theta decay in the context of compliance operations and analysis","compliance","Applied theta decay analysis in compliance reporting"
"Underperform (variant 88)","Financial concept related to underperform in the context of investment operations and analysis","investment","Applied underperform analysis in investment reporting"
"Volatility Index (variant 89)","Financial concept related to volatility index in the context of debt operations and analysis","debt","Applied volatility index analysis in debt reporting"
"Yield Curve (variant 90)","Financial concept related to yield curve in the context of strategy operations and analysis","strategy","Applied yield curve analysis in strategy reporting"
"Solvency Ratio (variant 91)","Financial concept related to solvency ratio in the context of valuation operations and analysis","valuation","Applied solvency ratio analysis in valuation reporting"
"Write-Off (variant 92)","Financial concept related to write-off in the context of rates operations and analysis","rates","Applied write-off analysis in rates reporting"
"Underwriting (variant 93)","Financial concept related to underwriting in the context of lending operations and analysis","lending","Applied underwriting analysis in lending reporting"
"Venture Capital (variant 94)","Financial concept related to venture capital in the context of insurance operations and analysis","insurance","Applied venture capital analysis in insurance reporting"
"Warrant (variant 95)","Financial concept related to warrant in the context of tax operations and analysis","tax","Applied warrant analysis in tax reporting"
"Zero-Coupon Bond (variant 96)","Financial concept related to zero-coupon bond in the context of accounting operations and analysis","accounting","Applied zero-coupon bond analysis in accounting reporting"
"Annuity (variant 97)","Financial concept related to annuity in the context of trading operations and analysis","trading","Applied annuity analysis in trading reporting"
"Bear Market (variant 98)","Financial concept related to bear market in the context of risk operations and analysis","risk","Applied bear market analysis in risk reporting"
"Bull Market (variant 99)","Financial concept related to bull market in the context of compliance operations and analysis","compliance","Applied bull market analysis in compliance reporting"
"Call Option (variant 100)","Financial concept related to call option in the context of investment operations and analysis","investment","Applied call option analysis in investment reporting"
"Put Option (variant 101)","Financial concept related to put option in the context of debt operations and analysis","debt","Applied put option analysis in debt reporting"
"Dividend Yield (variant 102)","Financial concept related to dividend yield in the context of strategy operations and analysis","strategy","Applied dividend yield analysis in strategy reporting"
"Escrow (variant 103)","Financial concept related to escrow in the context of valuation operations and analysis","valuation","Applied escrow analysis in valuation reporting"
"Float (variant 104)","Financial concept related to float in the context of rates operations and analysis","rates","Applied float analysis in rates reporting"
"Goodwill (variant 105)","Financial concept related to goodwill in the context of lending operations and analysis","lending","Applied goodwill analysis in lending reporting"
"Inflation Rate (variant 106)","Financial concept related to inflation rate in the context of insurance operations and analysis","insurance","Applied inflation rate analysis in insurance reporting"
"Junk Bond (variant 107)","Financial concept related to junk bond in the context of tax operations and analysis","tax","Applied junk bond analysis in tax reporting"
"Kurtosis (variant 108)","Financial concept related to kurtosis in the context of accounting operations and analysis","accounting","Applied kurtosis analysis in accounting reporting"
"Liquidity (variant 109)","Financial concept related to liquidity in the context of trading operations and analysis","trading","Applied liquidity analysis in trading reporting"
"Margin Call (variant 110)","Financial concept related to margin call in the context of risk operations and analysis","risk","Applied margin call analysis in risk reporting"
"Notional Value (variant 111)","Financial concept related to notional value in the context of compliance operations and analysis","compliance","Applied notional value analysis in compliance reporting"
"Open Interest (variant 112)","Financial concept related to open interest in the context of investment operations and analysis","investment","Applied open interest analysis in investment reporting"
"Par Value (variant 113)","Financial concept related to par value in the context of debt operations and analysis","debt","Applied par value analysis in debt reporting"
"Quantitative Easing (variant 114)","Financial concept related to quantitative easing in the context of strategy operations and analysis","strategy","Applied quantitative easing analysis in strategy reporting"
"Risk Premium (variant 115)","Financial concept related to risk premium in the context of valuation operations and analysis","valuation","Applied risk premium analysis in valuation reporting"
"Securitization (variant 116)","Financial concept related to securitization in the context of rates operations and analysis","rates","Applied securitization analysis in rates reporting"
"Theta Decay (variant 117)","Financial concept related to theta decay in the context of lending operations and analysis","lending","Applied theta decay analysis in lending reporting"
"Underperform (variant 118)","Financial concept related to underperform in the context of insurance operations and analysis","insurance","Applied underperform analysis in insurance reporting"
"Volatility Index (variant 119)","Financial concept related to volatility index in the context of tax operations and analysis","tax","Applied volatility index analysis in tax reporting"
"Yield Curve (variant 120)","Financial concept related to yield curve in the context of accounting operations and analysis","accounting","Applied yield curve analysis in accounting reporting"
"Solvency Ratio (variant 121)","Financial concept related to solvency ratio in the context of trading operations and analysis","trading","Applied solvency ratio analysis in trading reporting"
"Write-Off (variant 122)","Financial concept related to write-off in the context of risk operations and analysis","risk","Applied write-off analysis in risk reporting"
"Underwriting (variant 123)","Financial concept related to underwriting in the context of compliance operations and analysis","compliance","Applied underwriting analysis in compliance reporting"
"Venture Capital (variant 124)","Financial concept related to venture capital in the context of investment operations and analysis","investment","Applied venture capital analysis in investment reporting"
"Warrant (variant 125)","Financial concept related to warrant in the context of debt operations and analysis","debt","Applied warrant analysis in debt reporting"
"Zero-Coupon Bond (variant 126)","Financial concept related to zero-coupon bond in the context of strategy operations and analysis","strategy","Applied zero-coupon bond analysis in strategy reporting"
"Annuity (variant 127)","Financial concept related to annuity in the context of valuation operations and analysis","valuation","Applied annuity analysis in valuation reporting"
"Bear Market (variant 128)","Financial concept related to bear market in the context of rates operations and analysis","rates","Applied bear market analysis in rates reporting"
"Bull Market (variant 129)","Financial concept related to bull market in the context of lending operations and analysis","lending","Applied bull market analysis in lending reporting"
"Call Option (variant 130)","Financial concept related to call option in the context of insurance operations and analysis","insurance","Applied call option analysis in insurance reporting"
"Put Option (variant 131)","Financial concept related to put option in the context of tax operations and analysis","tax","Applied put option analysis in tax reporting"
"Dividend Yield (variant 132)","Financial concept related to dividend yield in the context of accounting operations and analysis","accounting","Applied dividend yield analysis in accounting reporting"
"Escrow (variant 133)","Financial concept related to escrow in the context of trading operations and analysis","trading","Applied escrow analysis in trading reporting"
"Float (variant 134)","Financial concept related to float in the context of risk operations and analysis","risk","Applied float analysis in risk reporting"
"Goodwill (variant 135)","Financial concept related to goodwill in the context of compliance operations and analysis","compliance","Applied goodwill analysis in compliance reporting"
"Inflation Rate (variant 136)","Financial concept related to inflation rate in the context of investment operations and analysis","investment","Applied inflation rate analysis in investment reporting"
"Junk Bond (variant 137)","Financial concept related to junk bond in the context of debt operations and analysis","debt","Applied junk bond analysis in debt reporting"
"Kurtosis (variant 138)","Financial concept related to kurtosis in the context of strategy operations and analysis","strategy","Applied kurtosis analysis in strategy reporting"
"Liquidity (variant 139)","Financial concept related to liquidity in the context of valuation operations and analysis","valuation","Applied liquidity analysis in valuation reporting"
"Margin Call (variant 140)","Financial concept related to margin call in the context of rates operations and analysis","rates","Applied margin call analysis in rates reporting"
"Notional Value (variant 141)","Financial concept related to notional value in the context of lending operations and analysis","lending","Applied notional value analysis in lending reporting"
"Open Interest (variant 142)","Financial concept related to open interest in the context of insurance operations and analysis","insurance","Applied open interest analysis in insurance reporting"
"Par Value (variant 143)","Financial concept related to par value in the context of tax operations and analysis","tax","Applied par value analysis in tax reporting"
"Quantitative Easing (variant 144)","Financial concept related to quantitative easing in the context of accounting operations and analysis","accounting","Applied quantitative easing analysis in accounting reporting"
"Risk Premium (variant 145)","Financial concept related to risk premium in the context of trading operations and analysis","trading","Applied risk premium analysis in trading reporting"
"Securitization (variant 146)","Financial concept related to securitization in the context of risk operations and analysis","risk","Applied securitization analysis in risk reporting"
"Theta Decay (variant 147)","Financial concept related to theta decay in the context of compliance operations and analysis","compliance","Applied theta decay analysis in compliance reporting"
"Underperform (variant 148)","Financial concept related to underperform in the context of investment operations and analysis","investment","Applied underperform analysis in investment reporting"
"Volatility Index (variant 149)","Financial concept related to volatility index in the context of debt operations and analysis","debt","Applied volatility index analysis in debt reporting"
"Yield Curve (variant 150)","Financial concept related to yield curve in the context of strategy operations and analysis","strategy","Applied yield curve analysis in strategy reporting"
"Solvency Ratio (variant 151)","Financial concept related to solvency ratio in the context of valuation operations and analysis","valuation","Applied solvency ratio analysis in valuation reporting"
"Write-Off (variant 152)","Financial concept related to write-off in the context of rates operations and analysis","rates","Applied write-off analysis in rates reporting"
"Underwriting (variant 153)","Financial concept related to underwriting in the context of lending operations and analysis","lending","Applied underwriting analysis in lending reporting"
"Venture Capital (variant 154)","Financial concept related to venture capital in the context of insurance operations and analysis","insurance","Applied venture capital analysis in insurance reporting"
"Warrant (variant 155)","Financial concept related to warrant in the context of tax operations and analysis","tax","Applied warrant analysis in tax reporting"
"Zero-Coupon Bond (variant 156)","Financial concept related to zero-coupon bond in the context of accounting operations and analysis","accounting","Applied zero-coupon bond analysis in accounting reporting"
"Annuity (variant 157)","Financial concept related to annuity in the context of trading operations and analysis","trading","Applied annuity analysis in trading reporting"
"Bear Market (variant 158)","Financial concept related to bear market in the context of risk operations and analysis","risk","Applied bear market analysis in risk reporting"
"Bull Market (variant 159)","Financial concept related to bull market in the context of compliance operations and analysis","compliance","Applied bull market analysis in compliance reporting"
"Call Option (variant 160)","Financial concept related to call option in the context of investment operations and analysis","investment","Applied call option analysis in investment reporting"
"Put Option (variant 161)","Financial concept related to put option in the context of debt operations and analysis","debt","Applied put option analysis in debt reporting"
"Dividend Yield (variant 162)","Financial concept related to dividend yield in the context of strategy operations and analysis","strategy","Applied dividend yield analysis in strategy reporting"
