workflow_name,description,trigger,steps,tools,category
"Code Review Assignment","Automatically assigns reviewers to pull requests","pull_request_opened","1. Analyze changed files 2. Identify code owners 3. Check reviewer availability 4. Assign reviewers 5. Set review deadline 6. Send notification","GitHub, CODEOWNERS, Slack, PullApprove","devops"
"Customer Feedback Loop","Collects, analyzes, and routes customer feedback","survey_completed","1. Collect NPS response 2. Analyze sentiment 3. Categorize feedback 4. Route to product team 5. Create follow-up task 6. Send thank you","Typeform, MonkeyLearn, Productboard, Slack","customer_success"
"Compliance Audit","Automates compliance checks and report generation","cron_schedule_quarterly","1. Run policy checks 2. Scan configurations 3. Verify access controls 4. Generate evidence 5. Compile audit report 6. Submit to compliance team","AWS Config, ScoutSuite, Drata, Jira","compliance"
"Canary Deployment","Gradually rolls out new versions with automatic rollback","deployment_initiated","1. Deploy to canary 2. Route 5% traffic 3. Monitor error rates 4. Compare metrics 5. Gradually increase traffic 6. Full rollout or rollback","Istio, Flagger, Prometheus, ArgoCD","devops"
"Knowledge Base Update","Syncs internal docs and publishes updates","document_merged","1. Detect content change 2. Format for KB 3. Update search index 4. Notify subscribers 5. Check broken links 6. Archive old version","Confluence, Algolia, Slack, GitHub","documentation"
"Budget Alert","Monitors cloud spending and alerts on anomalies","cost_threshold_exceeded","1. Pull billing data 2. Compare to budget 3. Identify cost drivers 4. Generate report 5. Alert finance team 6. Suggest optimizations","AWS Cost Explorer, Kubecost, Slack, Datadog","finance"
"API Health Check","Monitors API endpoints and reports degradation","cron_schedule_5min","1. Send synthetic requests 2. Measure response time 3. Validate response body 4. Check SSL validity 5. Alert on failure 6. Update status page","Checkly, Postman, PagerDuty, Statuspage","monitoring"
"Release Notes Generation","Auto-generates release notes from merged PRs","release_tag_created","1. Collect merged PRs 2. Categorize changes 3. Extract descriptions 4. Format markdown 5. Publish to docs site 6. Notify stakeholders","GitHub, release-drafter, Slack, Confluence","devops"
"Ticket Triage","Automatically categorizes and prioritizes support tickets","ticket_created","1. Parse ticket content 2. Classify category with ML 3. Assign priority 4. Route to team 5. Send acknowledgment 6. Set SLA timer","Zendesk, MonkeyLearn, Slack, PagerDuty","support"
"Environment Cleanup","Removes stale development environments","cron_schedule_nightly","1. List all dev environments 2. Check last activity 3. Warn owners of idle envs 4. Delete after 7 days idle 5. Reclaim resources 6. Report savings","Terraform, AWS, Slack, Jenkins","infrastructure"
"Document Approval","Routes documents through approval workflow","document_submitted","1. Validate format 2. Check completeness 3. Route to reviewers 4. Collect signatures 5. Apply version number 6. Archive final copy","DocuSign, SharePoint, Power Automate, Teams","compliance"
"Performance Testing","Runs load tests on every release candidate","release_candidate_tagged","1. Provision test environment 2. Configure load scenarios 3. Run k6 tests 4. Collect metrics 5. Compare to baseline 6. Pass/fail gate 7. Report results","k6, Grafana, Jenkins, InfluxDB","devops"
"Inventory Reorder","Automatically reorders stock when levels are low","inventory_below_threshold","1. Check stock levels 2. Calculate reorder quantity 3. Select supplier 4. Generate PO 5. Send to supplier 6. Update inventory system","NetSuite, SAP, Coupa, Slack","supply_chain"
"DNS Failover","Automatically switches DNS on primary failure","health_check_failed","1. Detect primary failure 2. Verify with secondary check 3. Update DNS records 4. Route to failover 5. Notify ops team 6. Monitor recovery","Route 53, Cloudflare, PagerDuty, Datadog","infrastructure"
"Sprint Planning","Automates sprint ceremony preparation","sprint_boundary","1. Archive completed sprint 2. Calculate velocity 3. Suggest sprint capacity 4. Pre-populate backlog 5. Create sprint board 6. Schedule ceremonies","Jira, Confluence, Slack, Google Calendar","project_management"
"Image Optimization Pipeline","Optimizes uploaded images for web delivery","image_uploaded","1. Detect format 2. Resize to breakpoints 3. Compress losslessly 4. Generate WebP/AVIF 5. Upload to CDN 6. Update references","Sharp, CloudFront, S3, Lambda","media"
"Vendor Risk Assessment","Evaluates and monitors third-party vendor risk","vendor_onboarded","1. Send security questionnaire 2. Review SOC 2 report 3. Score risk factors 4. Check compliance 5. Route for approval 6. Schedule annual review","OneTrust, SecurityScorecard, Jira, DocuSign","compliance"
"Chatbot Training Pipeline","Retrains customer service bot with new data","weekly_data_collection","1. Export chat transcripts 2. Label intents 3. Clean training data 4. Fine-tune model 5. Evaluate accuracy 6. Deploy if improved 7. A/B test","Rasa, Python, MLflow, Kubernetes, Grafana","ai"
"SLA Monitoring","Tracks service level compliance and alerts breaches","continuous","1. Collect response time data 2. Calculate uptime percentage 3. Compare to SLA targets 4. Alert on breach risk 5. Generate monthly report 6. Escalate violations","Datadog, PagerDuty, Jira, Google Sheets","operations"
"Email Campaign","Manages automated email marketing sequences","segment_trigger","1. Select audience segment 2. Personalize content 3. A/B test subject lines 4. Schedule send 5. Track opens/clicks 6. Update lead scores","Mailchimp, Segment, Mixpanel, Salesforce","marketing"
"Container Image Build","Builds and scans container images on commit","code_pushed","1. Pull source code 2. Build Docker image 3. Run unit tests 4. Scan for vulnerabilities 5. Tag with version 6. Push to registry","Docker, Trivy, GitHub Actions, ECR","devops"
"Access Review","Quarterly review of user access privileges","cron_schedule_quarterly","1. Export access lists 2. Compare to job roles 3. Flag excessive permissions 4. Send review to managers 5. Revoke unapproved access 6. Generate audit log","Okta, SailPoint, Slack, ServiceNow","compliance"
"Disaster Recovery Test","Automated DR testing with failover validation","cron_schedule_quarterly","1. Snapshot production state 2. Initiate failover 3. Validate services in DR 4. Measure RTO/RPO 5. Document results 6. Failback to primary","AWS, Terraform, Ansible, PagerDuty","infrastructure"
"Content Moderation","Automatically reviews user-generated content","content_submitted","1. Scan text for profanity 2. Check images with AI 3. Classify toxicity score 4. Auto-approve if clean 5. Queue for human review if flagged 6. Log decision","AWS Rekognition, Perspective API, Redis, PostgreSQL","trust_safety"
"Payment Reconciliation","Matches transactions across payment systems","cron_schedule_daily","1. Export bank transactions 2. Export payment gateway data 3. Match by reference 4. Flag discrepancies 5. Generate reconciliation report 6. Route exceptions","Stripe, QuickBooks, Python, Slack","finance"
"Feature Flag Management","Controls feature rollout with automated flag lifecycle","flag_created","1. Create flag in system 2. Set targeting rules 3. Enable for beta users 4. Monitor metrics 5. Gradual rollout 6. Clean up stale flags","LaunchDarkly, Datadog, Slack, Jira","devops"
"Regulatory Filing","Automates submission of regulatory reports","filing_deadline_approaching","1. Collect required data 2. Validate completeness 3. Format per regulations 4. Generate filing 5. Submit electronically 6. Archive confirmation","Python, SAP, XBRL, DocuSign","compliance"
"Multi-Region Deployment","Deploys applications across multiple cloud regions","release_approved","1. Build artifacts 2. Deploy to primary region 3. Run smoke tests 4. Deploy to secondary regions 5. Update global load balancer 6. Verify DNS propagation","Terraform, ArgoCD, CloudFront, Route 53","devops"
"Customer Churn Prediction","Scores customers for churn risk and triggers retention","cron_schedule_weekly","1. Extract usage data 2. Run ML prediction 3. Score churn probability 4. Alert CSM for high risk 5. Trigger retention campaign 6. Track outcomes","Python, scikit-learn, Salesforce, HubSpot","customer_success"
"Workspace Provisioning","Sets up developer workspaces with required tools","developer_onboarded","1. Create cloud workspace 2. Clone repos 3. Install dependencies 4. Configure IDE settings 5. Set up VPN access 6. Send credentials","Gitpod, Terraform, Ansible, Vault","devops"
"Supply Chain Alert","Monitors supply chain disruptions and notifies stakeholders","external_data_feed","1. Monitor news feeds 2. Check supplier status 3. Assess impact severity 4. Notify procurement 5. Identify alternatives 6. Update risk register","Resilinc, SAP, Slack, Power BI","supply_chain"
"Test Data Generation","Creates realistic test data for QA environments","test_cycle_started","1. Analyze schema 2. Generate synthetic data 3. Anonymize PII 4. Load into test DB 5. Validate referential integrity 6. Reset between runs","Faker, PostgreSQL, Python, Jenkins","devops"
"Service Desk Automation","Auto-resolves common IT requests","ticket_keyword_match","1. Parse ticket intent 2. Match to known solutions 3. Execute automated fix 4. Verify resolution 5. Update ticket 6. Escalate if unresolved","ServiceNow, PowerShell, Ansible, Slack","support"
"Marketing Attribution","Tracks and attributes conversions across channels","conversion_event","1. Capture touchpoints 2. Apply attribution model 3. Calculate channel ROI 4. Update dashboard 5. Adjust ad spend 6. Generate weekly report","Google Analytics, Segment, Looker, BigQuery","marketing"
"Cloud Cost Optimization","Identifies and implements cost savings","cron_schedule_weekly","1. Analyze usage patterns 2. Identify idle resources 3. Recommend rightsizing 4. Schedule reserved instances 5. Delete orphaned volumes 6. Report savings","AWS Cost Explorer, Kubecost, Spot.io, Slack","finance"
"API Versioning Pipeline","Manages API version lifecycle automatically","breaking_change_detected","1. Detect breaking changes 2. Create new version endpoint 3. Update documentation 4. Notify consumers 5. Set deprecation timeline 6. Sunset old version","OpenAPI, Swagger, Postman, Slack","devops"
"Compliance Training","Assigns and tracks mandatory training completion","training_due_date","1. Check training requirements 2. Assign courses 3. Send reminders 4. Track completions 5. Escalate overdue 6. Generate compliance report","Workday, Slack, Google Sheets, Drata","hr"
