question,answer,category
"How is COPD staged?","COPD is staged using GOLD criteria based on post-bronchodilator FEV1: GOLD 1 (≥80%), GOLD 2 (50-79%), GOLD 3 (30-49%), GOLD 4 (<30%). Treatment escalation follows staging combined with symptom burden and exacerbation history.",pulmonology
"What are the causes of pleural effusion?","Transudative causes include heart failure, cirrhosis, and nephrotic syndrome. Exudative causes include pneumonia, malignancy, pulmonary embolism, and tuberculosis. Light's criteria differentiate the two types based on protein and LDH ratios.",pulmonology
"How is pulmonary embolism diagnosed?","Diagnosis involves clinical probability scoring (Wells criteria), D-dimer testing, and CT pulmonary angiography (gold standard). V/Q scanning is an alternative. Treatment includes anticoagulation with heparin bridging to warfarin or DOACs.",pulmonology
"What is the approach to acute kidney injury?","AKI is classified as prerenal, intrinsic, or postrenal. Evaluation includes urine studies (FeNa, urine microscopy), renal ultrasound, and identifying reversible causes. Management focuses on treating underlying cause, fluid management, and avoiding nephrotoxins.",nephrology
"How is chronic kidney disease managed?","CKD management includes blood pressure control (ACE/ARB), glycemic control in diabetics, dietary protein restriction, treatment of anemia (ESAs), mineral bone disease management (phosphate binders, vitamin D), and preparation for renal replacement therapy.",nephrology
"What are the indications for emergent dialysis?","Emergent dialysis is indicated for refractory hyperkalemia, severe metabolic acidosis, volume overload not responding to diuretics, uremic pericarditis or encephalopathy, and certain toxic ingestions (methanol, ethylene glycol, lithium, salicylates).",nephrology
"What is rheumatoid arthritis?","RA is a chronic autoimmune inflammatory arthritis affecting synovial joints symmetrically. It presents with morning stiffness >30 minutes, joint swelling, and positive RF/anti-CCP antibodies. Early DMARD therapy (methotrexate) is essential to prevent joint destruction.",rheumatology
"How is systemic lupus erythematosus diagnosed?","SLE diagnosis uses ACR/EULAR criteria including clinical features (malar rash, photosensitivity, oral ulcers, arthritis, serositis) and laboratory findings (ANA, anti-dsDNA, low complement, cytopenias). Treatment ranges from NSAIDs to immunosuppressants.",rheumatology
"What is gout and how is it treated?","Gout is caused by monosodium urate crystal deposition in joints due to hyperuricemia. Acute attacks are treated with NSAIDs, colchicine, or corticosteroids. Long-term management includes urate-lowering therapy (allopurinol, febuxostat) targeting serum urate <6 mg/dL.",rheumatology
"What are the types of inflammatory bowel disease?","IBD includes Crohn's disease (transmural inflammation, any GI tract location, skip lesions) and ulcerative colitis (mucosal inflammation, continuous, limited to colon). Both present with diarrhea, abdominal pain, and may have extraintestinal manifestations.",gastroenterology
"How is Clostridioides difficile infection treated?","Initial non-severe CDI is treated with fidaxomicin or vancomycin (oral). Severe cases receive oral vancomycin. Fulminant cases add IV metronidazole. Recurrent CDI may benefit from fecal microbiota transplantation.",gastroenterology
"What is the approach to upper GI bleeding?","Management includes hemodynamic stabilization, IV PPI infusion, and urgent endoscopy within 24 hours. Specific treatments include epinephrine injection, thermal coagulation, and hemoclipping. Transfuse to hemoglobin target of 7 g/dL in stable patients.",gastroenterology
"How is celiac disease diagnosed?","Diagnosis involves serologic testing (tissue transglutaminase IgA antibodies) followed by duodenal biopsy showing villous atrophy, crypt hyperplasia, and intraepithelial lymphocytosis. Testing should be done while patient is on a gluten-containing diet.",gastroenterology
"What is hepatitis C treatment?","Hepatitis C is treated with direct-acting antivirals (DAAs) achieving >95% sustained virologic response. Common regimens include sofosbuvir/velpatasvir or glecaprevir/pibrentasvir for 8-12 weeks depending on genotype and cirrhosis status.",gastroenterology
"What is the approach to anemia workup?","Anemia workup starts with MCV classification: microcytic (iron deficiency, thalassemia), normocytic (chronic disease, hemolysis, acute blood loss), or macrocytic (B12/folate deficiency, myelodysplasia). Iron studies, reticulocyte count, and peripheral smear guide diagnosis.",hematology
"How is deep vein thrombosis treated?","DVT treatment includes anticoagulation with LMWH, unfractionated heparin, or DOACs (rivaroxaban, apixaban). Duration is typically 3 months for provoked DVT and indefinite for unprovoked or recurrent events. IVC filters are reserved for anticoagulation contraindications.",hematology
"What is disseminated intravascular coagulation?","DIC is a consumptive coagulopathy triggered by sepsis, trauma, malignancy, or obstetric complications. Lab findings include elevated D-dimer, prolonged PT/PTT, low fibrinogen, and thrombocytopenia. Treatment targets the underlying cause plus supportive transfusion.",hematology
"What are the clinical features of major depressive disorder?","MDD requires ≥5 symptoms over 2 weeks including depressed mood or anhedonia, plus changes in sleep, appetite, energy, concentration, psychomotor activity, worthlessness/guilt, or suicidal ideation. It significantly impairs daily functioning.",psychiatry
"How are generalized anxiety disorder patients managed?","GAD management includes CBT as first-line psychotherapy, SSRIs or SNRIs as first-line pharmacotherapy, and buspirone as an alternative. Benzodiazepines are used short-term only. Lifestyle modifications include exercise, sleep hygiene, and stress management.",psychiatry
"What is the approach to acute psychosis?","Acute psychosis management includes ensuring safety, medical workup to exclude organic causes (infection, substance use, metabolic), and antipsychotic medication (haloperidol, olanzapine, or risperidone). Assess for suicidality and involuntary hold criteria.",psychiatry
"How is bipolar disorder treated?","Bipolar disorder treatment includes mood stabilizers (lithium, valproate), atypical antipsychotics (quetiapine, lurasidone), and lamotrigine for depressive episodes. Antidepressant monotherapy is avoided due to mania risk. Regular monitoring of lithium levels and organ function is essential.",psychiatry
"What is the management of sepsis?","Sepsis management follows the Surviving Sepsis Campaign: obtain blood cultures, administer broad-spectrum antibiotics within 1 hour, aggressive fluid resuscitation (30 mL/kg crystalloid), measure lactate, and vasopressors (norepinephrine first-line) if MAP <65 mmHg despite fluids.",critical_care
"How is acute respiratory distress syndrome managed?","ARDS management includes low tidal volume ventilation (6 mL/kg ideal body weight), PEEP optimization, prone positioning for moderate-severe cases, conservative fluid strategy, and neuromuscular blockade in severe cases. Target PaO2 55-80 mmHg.",critical_care
"What are the indications for mechanical ventilation?","Indications include acute respiratory failure (hypoxemic or hypercapnic), airway protection (GCS ≤8), respiratory muscle fatigue, and anticipated clinical deterioration. Non-invasive ventilation (BiPAP/CPAP) should be considered first when appropriate.",critical_care
"How is anaphylaxis treated?","Anaphylaxis treatment: immediately administer intramuscular epinephrine 0.3-0.5 mg (anterolateral thigh), establish IV access, give IV fluids, adjunctive H1/H2 antihistamines, corticosteroids, and bronchodilators. Monitor for biphasic reaction for 4-8 hours.",emergency_medicine
"What is the approach to trauma assessment?","Primary survey follows ABCDE: Airway (with c-spine protection), Breathing, Circulation (hemorrhage control), Disability (neurological status), and Exposure. Massive transfusion protocol for hemorrhagic shock. Secondary survey is a complete head-to-toe examination.",emergency_medicine
"How are burns classified and managed?","Burns are classified by depth: superficial (epidermis), partial-thickness (dermis), and full-thickness (subcutaneous). Management includes Parkland formula for fluid resuscitation (4 mL/kg/%TBSA), wound care, pain management, and escharotomy if circumferential.",emergency_medicine
"What is the approach to acute abdominal pain?","Evaluation includes history, physical exam, labs (CBC, CMP, lipase, urinalysis, pregnancy test), and imaging (CT abdomen/pelvis or ultrasound). Key differentials include appendicitis, cholecystitis, bowel obstruction, pancreatitis, and ectopic pregnancy.",emergency_medicine
"How is community-acquired pneumonia treated?","Outpatient treatment: amoxicillin or doxycycline for healthy patients; respiratory fluoroquinolone or beta-lactam plus macrolide for comorbidities. Inpatient: beta-lactam plus macrolide or respiratory fluoroquinolone. Severe cases add vancomycin for MRSA coverage.",infectious_disease
"What is the prophylaxis for HIV exposure?","Post-exposure prophylaxis (PEP) should begin within 72 hours with a 28-day course of tenofovir/emtricitabine plus raltegravir or dolutegravir. Pre-exposure prophylaxis (PrEP) with tenofovir/emtricitabine is recommended for high-risk individuals.",infectious_disease
"How is tuberculosis diagnosed and treated?","Diagnosis includes tuberculin skin test, IGRA, chest X-ray, and sputum AFB smear/culture. Active TB treatment is RIPE: rifampin, isoniazid, pyrazinamide, ethambutol for 2 months, then rifampin and isoniazid for 4 months. Latent TB: isoniazid for 9 months or rifampin for 4 months.",infectious_disease
"What are the key principles of antibiotic stewardship?","Key principles include using narrow-spectrum agents when possible, de-escalating based on culture results, appropriate duration of therapy, avoiding unnecessary antibiotics for viral infections, and monitoring local resistance patterns to guide empiric therapy.",infectious_disease
"What is the preoperative assessment for non-cardiac surgery?","Assessment includes functional capacity evaluation (METs), cardiac risk stratification (Revised Cardiac Risk Index), pulmonary risk assessment, medication review, and laboratory testing based on patient comorbidities. Low-risk patients rarely need extensive workup.",surgery
"How is appendicitis managed?","Appendicitis is primarily managed surgically via laparoscopic appendectomy. Uncomplicated cases may be treated with antibiotics alone in select patients. Perforated appendicitis may require percutaneous drainage followed by interval appendectomy.",surgery
"What are the indications for cholecystectomy?","Indications include symptomatic cholelithiasis, acute cholecystitis, gallstone pancreatitis, porcelain gallbladder, and gallbladder polyps >1 cm. Laparoscopic cholecystectomy is the standard approach with low complication rates.",surgery
"How is osteoporosis diagnosed and treated?","Diagnosis is via DEXA scan with T-score ≤-2.5. Treatment includes calcium/vitamin D supplementation, weight-bearing exercise, and pharmacotherapy: bisphosphonates (first-line), denosumab, teriparatide for severe cases. FRAX score guides treatment decisions.",orthopedics
"What is the approach to low back pain?","Acute low back pain management includes NSAIDs, muscle relaxants, physical therapy, and patient education. Red flags (saddle anesthesia, bowel/bladder dysfunction, progressive weakness) require urgent MRI. Most cases resolve within 4-6 weeks with conservative management.",orthopedics
"How are ACL tears managed?","ACL tear management depends on patient factors: young active patients typically undergo arthroscopic ACL reconstruction with patellar tendon or hamstring autograft. Older or less active patients may be managed conservatively with physical therapy and bracing.",orthopedics
"What is age-related macular degeneration?","AMD is a leading cause of vision loss in elderly. Dry AMD involves drusen accumulation and geographic atrophy. Wet AMD features choroidal neovascularization treated with intravitreal anti-VEGF injections (ranibizumab, aflibercept). Risk factors include smoking and family history.",ophthalmology
"How is glaucoma managed?","Open-angle glaucoma is managed with topical medications: prostaglandin analogs (latanoprost, first-line), beta-blockers, alpha-agonists, and carbonic anhydrase inhibitors. Laser trabeculoplasty and surgical trabeculectomy are options for refractory cases. Target is IOP reduction.",ophthalmology
"What is the approach to urinary tract infections?","Uncomplicated cystitis: nitrofurantoin, TMP-SMX, or fosfomycin. Complicated UTI/pyelonephritis: fluoroquinolones or IV ceftriaxone. Obtain urine culture for complicated cases. Recurrent UTI management includes prophylactic antibiotics and behavioral modifications.",urology
"How is benign prostatic hyperplasia treated?","BPH treatment includes alpha-blockers (tamsulosin) for symptomatic relief, 5-alpha reductase inhibitors (finasteride) for large prostates, and combination therapy. Surgical options include TURP, laser enucleation, and minimally invasive procedures for refractory cases.",urology
