code,description,category,common_symptoms,typical_treatment
"M12.2","Condition related to pediatrics (variant 12)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"N13.3","Condition related to emergency (variant 13)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"O14.4","Condition related to cardiology (variant 14)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"P15.5","Condition related to neurology (variant 15)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"Q16.6","Condition related to oncology (variant 16)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"R17.7","Condition related to pulmonology (variant 17)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"S18.8","Condition related to endocrinology (variant 18)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"T19.9","Condition related to gastroenterology (variant 19)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"U20.0","Condition related to psychiatry (variant 20)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"V21.1","Condition related to orthopedics (variant 21)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"W22.2","Condition related to dermatology (variant 22)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"X23.3","Condition related to nephrology (variant 23)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"Y24.4","Condition related to rheumatology (variant 24)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"Z25.5","Condition related to infectious_disease (variant 25)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"A26.6","Condition related to pediatrics (variant 26)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"B27.7","Condition related to emergency (variant 27)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"C28.8","Condition related to cardiology (variant 28)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"D29.9","Condition related to neurology (variant 29)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"E30.0","Condition related to oncology (variant 30)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"F31.1","Condition related to pulmonology (variant 31)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"G32.2","Condition related to endocrinology (variant 32)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"H33.3","Condition related to gastroenterology (variant 33)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"I34.4","Condition related to psychiatry (variant 34)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"J35.5","Condition related to orthopedics (variant 35)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"K36.6","Condition related to dermatology (variant 36)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"L37.7","Condition related to nephrology (variant 37)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"M38.8","Condition related to rheumatology (variant 38)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"N39.9","Condition related to infectious_disease (variant 39)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"O40.0","Condition related to pediatrics (variant 40)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"P41.1","Condition related to emergency (variant 41)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"Q42.2","Condition related to cardiology (variant 42)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"R43.3","Condition related to neurology (variant 43)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"S44.4","Condition related to oncology (variant 44)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"T45.5","Condition related to pulmonology (variant 45)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"U46.6","Condition related to endocrinology (variant 46)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"V47.7","Condition related to gastroenterology (variant 47)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"W48.8","Condition related to psychiatry (variant 48)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"X49.9","Condition related to orthopedics (variant 49)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"Y50.0","Condition related to dermatology (variant 50)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"Z51.1","Condition related to nephrology (variant 51)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"A52.2","Condition related to rheumatology (variant 52)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"B53.3","Condition related to infectious_disease (variant 53)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"C54.4","Condition related to pediatrics (variant 54)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"D55.5","Condition related to emergency (variant 55)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"E56.6","Condition related to cardiology (variant 56)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"F57.7","Condition related to neurology (variant 57)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"G58.8","Condition related to oncology (variant 58)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"H59.9","Condition related to pulmonology (variant 59)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"I60.0","Condition related to endocrinology (variant 60)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"J61.1","Condition related to gastroenterology (variant 61)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"K62.2","Condition related to psychiatry (variant 62)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"L63.3","Condition related to orthopedics (variant 63)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"M64.4","Condition related to dermatology (variant 64)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"N65.5","Condition related to nephrology (variant 65)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"O66.6","Condition related to rheumatology (variant 66)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"P67.7","Condition related to infectious_disease (variant 67)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"Q68.8","Condition related to pediatrics (variant 68)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"R69.9","Condition related to emergency (variant 69)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"S70.0","Condition related to cardiology (variant 70)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"T71.1","Condition related to neurology (variant 71)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"U72.2","Condition related to oncology (variant 72)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"V73.3","Condition related to pulmonology (variant 73)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"W74.4","Condition related to endocrinology (variant 74)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"X75.5","Condition related to gastroenterology (variant 75)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"Y76.6","Condition related to psychiatry (variant 76)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"Z77.7","Condition related to orthopedics (variant 77)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"A78.8","Condition related to dermatology (variant 78)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"B79.9","Condition related to nephrology (variant 79)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"C80.0","Condition related to rheumatology (variant 80)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"D81.1","Condition related to infectious_disease (variant 81)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"E82.2","Condition related to pediatrics (variant 82)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"F83.3","Condition related to emergency (variant 83)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"G84.4","Condition related to cardiology (variant 84)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"H85.5","Condition related to neurology (variant 85)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"I86.6","Condition related to oncology (variant 86)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"J87.7","Condition related to pulmonology (variant 87)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"K88.8","Condition related to endocrinology (variant 88)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"L89.9","Condition related to gastroenterology (variant 89)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"M90.0","Condition related to psychiatry (variant 90)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"N91.1","Condition related to orthopedics (variant 91)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"O92.2","Condition related to dermatology (variant 92)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"P93.3","Condition related to nephrology (variant 93)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"Q94.4","Condition related to rheumatology (variant 94)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"R95.5","Condition related to infectious_disease (variant 95)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"S96.6","Condition related to pediatrics (variant 96)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"T97.7","Condition related to emergency (variant 97)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"U98.8","Condition related to cardiology (variant 98)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"V00.9","Condition related to neurology (variant 99)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"W01.0","Condition related to oncology (variant 100)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"X02.1","Condition related to pulmonology (variant 101)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"Y03.2","Condition related to endocrinology (variant 102)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"Z04.3","Condition related to gastroenterology (variant 103)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"A05.4","Condition related to psychiatry (variant 104)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"B06.5","Condition related to orthopedics (variant 105)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"C07.6","Condition related to dermatology (variant 106)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"D08.7","Condition related to nephrology (variant 107)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"E09.8","Condition related to rheumatology (variant 108)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"F10.9","Condition related to infectious_disease (variant 109)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"G11.0","Condition related to pediatrics (variant 110)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"H12.1","Condition related to emergency (variant 111)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"I13.2","Condition related to cardiology (variant 112)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"J14.3","Condition related to neurology (variant 113)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"K15.4","Condition related to oncology (variant 114)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"L16.5","Condition related to pulmonology (variant 115)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"M17.6","Condition related to endocrinology (variant 116)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"N18.7","Condition related to gastroenterology (variant 117)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"O19.8","Condition related to psychiatry (variant 118)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"P20.9","Condition related to orthopedics (variant 119)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"Q21.0","Condition related to dermatology (variant 120)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"R22.1","Condition related to nephrology (variant 121)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"S23.2","Condition related to rheumatology (variant 122)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"T24.3","Condition related to infectious_disease (variant 123)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"U25.4","Condition related to pediatrics (variant 124)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"V26.5","Condition related to emergency (variant 125)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"W27.6","Condition related to cardiology (variant 126)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"X28.7","Condition related to neurology (variant 127)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"Y29.8","Condition related to oncology (variant 128)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"Z30.9","Condition related to pulmonology (variant 129)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"A31.0","Condition related to endocrinology (variant 130)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"B32.1","Condition related to gastroenterology (variant 131)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"C33.2","Condition related to psychiatry (variant 132)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"D34.3","Condition related to orthopedics (variant 133)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"E35.4","Condition related to dermatology (variant 134)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"F36.5","Condition related to nephrology (variant 135)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"G37.6","Condition related to rheumatology (variant 136)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"H38.7","Condition related to infectious_disease (variant 137)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"I39.8","Condition related to pediatrics (variant 138)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"J40.9","Condition related to emergency (variant 139)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"K41.0","Condition related to cardiology (variant 140)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"L42.1","Condition related to neurology (variant 141)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"M43.2","Condition related to oncology (variant 142)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"N44.3","Condition related to pulmonology (variant 143)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
"O45.4","Condition related to endocrinology (variant 144)","endocrinology","Symptoms typical of endocrinology presentations","Standard endocrinology treatment protocol"
"P46.5","Condition related to gastroenterology (variant 145)","gastroenterology","Symptoms typical of gastroenterology presentations","Standard gastroenterology treatment protocol"
"Q47.6","Condition related to psychiatry (variant 146)","psychiatry","Symptoms typical of psychiatry presentations","Standard psychiatry treatment protocol"
"R48.7","Condition related to orthopedics (variant 147)","orthopedics","Symptoms typical of orthopedics presentations","Standard orthopedics treatment protocol"
"S49.8","Condition related to dermatology (variant 148)","dermatology","Symptoms typical of dermatology presentations","Standard dermatology treatment protocol"
"T50.9","Condition related to nephrology (variant 149)","nephrology","Symptoms typical of nephrology presentations","Standard nephrology treatment protocol"
"U51.0","Condition related to rheumatology (variant 150)","rheumatology","Symptoms typical of rheumatology presentations","Standard rheumatology treatment protocol"
"V52.1","Condition related to infectious_disease (variant 151)","infectious_disease","Symptoms typical of infectious_disease presentations","Standard infectious_disease treatment protocol"
"W53.2","Condition related to pediatrics (variant 152)","pediatrics","Symptoms typical of pediatrics presentations","Standard pediatrics treatment protocol"
"X54.3","Condition related to emergency (variant 153)","emergency","Symptoms typical of emergency presentations","Standard emergency treatment protocol"
"Y55.4","Condition related to cardiology (variant 154)","cardiology","Symptoms typical of cardiology presentations","Standard cardiology treatment protocol"
"Z56.5","Condition related to neurology (variant 155)","neurology","Symptoms typical of neurology presentations","Standard neurology treatment protocol"
"A57.6","Condition related to oncology (variant 156)","oncology","Symptoms typical of oncology presentations","Standard oncology treatment protocol"
"B58.7","Condition related to pulmonology (variant 157)","pulmonology","Symptoms typical of pulmonology presentations","Standard pulmonology treatment protocol"
